line_number,'hamming', 'mlipns', 'levenshtein', 'damerau_levenshtein', 'jaro_winkler', 'jaro', 'strcmp95', 'smith_waterman', 'jaccard', 'sorensen_dice', 'tversky', 'overlap', 'tanimoto', 'cosine', 'monge_elkan', 'bag', 'lcsseq', 'lcsstr', 'ratcliff_obershelp', 'arith_ncd', 'rle_ncd', 'bwtrle_ncd', 'sqrt_ncd', 'entropy_ncd', 'bz2_ncd', 'lzma_ncd', 'zlib_ncd', 'mra', 'editex', 'prefix', 'postfix', 'length', 'identity', 'matrix', 'average',transcribed_text,source_text
00054,5, 1, 5, 5, 0.09999999999999998, 0.16666666666666663, 0.09999999999999998, 4.0, 0.5, 0.33333333333333337, 0.5, 0.0, 2.0, 0.29289321881345254, 1.92, 5, 5, 5, 0.33333333333333337, 1.3636363636363635, 1.0, 0.8181818181818182, 0.6106715015343405, 0.09177080313501905, 0.1875, 0.14814814814814814, 0.4375, 5, 10, 5, 10, 5, 1, 1, 2.4383422113759554,matiu tiri,matiu
01115,85, 1, 5, 5, 0.014409937888198776, 0.02401656314699796, 0.013552795031055886, 6.0, 0.028169014084507005, 0.014285714285714235, 0.028169014084507005, 0.014285714285714235, 1.0412226627265129, 0.014285714285714235, 1.9928571428571429, 2, 3, 60, 0.021428571428571463, 1.0059171597633136, 1.0, 0.5923076923076923, 0.4157613597609211, 0.0021010929552981034, 0.28, 0.08, 0.14285714285714285, 0, 8, 92, 133, 0, 1, 1, 12.021341979169089,ijadufuo fu urina kiae na oe none ige funeka ma mukoreigia oefiadiedo na nabite na baronedufuo ijadufuo janika igia karina na samuagino kiae,ijadufuo fu urina kiae na oe none ige funeka ma urukeigia oefiadiedo na nabite na baronedufuo ijadufuo janika igia karina na samuagieno kiae
00515,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0.9970760233918129, 1.0, 0.5647058823529412, 0.414213562373095, 0.0, 0.21774193548387097, 0.02197802197802198, 0.045454545454545456, 0, 0, 0, 0, 0, 0, 0, 0.12532852855983198,bu ijiege rekinu buka sinuome ro moni ireobo oetuakinu vierafevo ijare vua maeje bu fieva ije buneka toteve ijadufuo vua maeje bu fieva ije fu oe buone ijia tavuana ajia fo kiravo baki,bu ijiege rekinu buka sinuome ro moni ireobo oetuakinu vierafevo ijare vua maeje bu fieva ije buneka toteve ijadufuo vua maeje bu fieva ije fu oe buone ijia tavuana ajia fo kiravo baki
00505,1, 0, 1, 1, 0.004422617755589386, 0.007371029592648903, 0.004422617755589386, 1.0, 0.0073260073260073, 0.003676470588235281, 0.0073260073260073, 0.003676470588235281, 1.0106080995659807, 0.003676470588235281, 1.9963235294117647, 1, 1, 124, 0.003676470588235281, 1.0020263424518743, 1.0, 0.5514018691588785, 0.41469164689784666, 0.0005319681185273123, 0.2152777777777778, 0.0380952380952381, 0.07246376811594203, 0, 2, 149, 124, 0, 1, 1, 12.157264541226548,ijadufuo na vierafe vua ije asaea e godido vua vierafena kuaemo fu isuibe kuaema ije fuka ma kuae ro vua ije fu kuaema ije fu ijiege isoe ja vua ije jane fieke rove vua ijiebuo maeje jabe mukoe vierafedufuo ro kuke jane giake rove irere ja giavo ije ja ma vierafekuva baki,ijadufuo na vierafe vua ije asaea e godido vua vierafena kuaemo fu isuibe kuaema ije fuka ma kuae ro vua ije fu kuaema ije bu ijiege isoe ja vua ije jane fieke rove vua ijiebuo maeje jabe mukoe vierafedufuo ro kuke jane giake rove irere ja giavo ije ja ma vierafekuva baki
00340,38, 0, 3, 3, 0.024519546251389857, 0.04086591041898302, 0.023856542588386098, 3.0, 0.021857923497267784, 0.011049723756906049, 0.021857923497267784, 0.005555555555555536, 1.0318840610197861, 0.011034630003404433, 1.9944444444444445, 3, 3, 93, 0.011049723756906049, 0.9985007496251874, 1.0, 0.5283018867924528, 0.41573428550699, 0.0008219332059330704, 0.23478260869565218, 0.04597701149425287, 0.1308411214953271, 0, 6, 93, 142, 2, 1, 1, 11.692733399459003,jesu fune e vua fuone fievo tuero ije kiamo bu rovoga fu daro fuone ije miae fu daro ije fu abena kavene ise kiaga bu e ije arena vadufuo ro adame abevo ije amaeriadufuo ijene miae,jesu fune e vua fuone fievo tuero ije kiamo bu rovoga fu daro fuone ije miae fu daro ije bu abena kavene ise kiaga bu e ije arena vadufuo ro e adame abevo ije amaeriadufuo ijene miae
00350,76, 1, 3, 3, 0.0327394643483685, 0.05456577391394746, 0.0327394643483685, 3.0, 0.004405286343612369, 0.002207505518763808, 0.004405286343612369, 0.0, 1.0063695248757274, 0.002205074348246794, 1.9955947136563876, 1, 3, 76, 0.01103752759381893, 0.9963898916967509, 1.0, 0.5505050505050505, 0.41473594555782817, 0.00021962513780648355, 0.2, 0.041237113402061855, 0.0975609756097561, 0, 4, 76, 155, 1, 1, 1, 12.071968183035297,ro kamui ije jade kena oenoejo ro nime ugone ja savo ijiakiro dia suri ja savo ro mudu ja bijuanoejo ijiaru kena oenoefo ijadufuo maeje irere boeje e iniemoejo bu kedufuo ije bu e ije bu ifejiavo ijiebe ja samuagiakinu ifejiake,ro kamui ije jade kena oenoejo ro nime ugone ja savo ijiakiro dia suri ja savo ro mudu ja bijuanoejo ijiaru kena oenoefo ijadufuo maeje irere boeje e imenoejo bu kedufuo ije bu e ije bu ifejiavo ijiebe ja samuagiakinu ifejiake
00673,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.5, 0.4142135623730951, 0.0, 0.2283464566929134, 0.021505376344086023, 0.05042016806722689, 0, 0, 0, 0, 0, 0, 0, 0.12395545774933299,ijadufuo maeje erare fu una fuone izege fu ma fivadufuo ijiaru uruke vierafenoeno ije fu rade vame ma karivako ije abekuma baki ro erare fu maza boeje una e gue oetuana ifejiamo ije rade fu vame ma karivako ije abeke,ijadufuo maeje erare fu una fuone izege fu ma fivadufuo ijiaru uruke vierafenoeno ije fu rade vame ma karivako ije abekuma baki ro erare fu maza boeje una e gue oetuana ifejiamo ije rade fu vame ma karivako ije abeke
00489,8, 1, 8, 8, 0.12307692307692308, 0.20512820512820518, 0.12307692307692308, 4.0, 0.6153846153846154, 0.4444444444444444, 0.6153846153846154, 0.0, 2.37851162325373, 0.3798263270539577, 1.9467455621301775, 8, 8, 8, 0.4444444444444444, 1.135135135135135, 1.0, 0.8571428571428571, 0.673885589786353, 0.13490270115370517, 0.23529411764705882, 0.20689655172413793, 0.5263157894736842, 6, 16, 8, 13, 8, 1, 1, 3.471929306630617,matiu te tini,matiu
00499,39, 1, 2, 2, 0.06536559979182921, 0.10894266631971539, 0.06536559979182921, 2.0, 0.031746031746031744, 0.016129032258064502, 0.031746031746031744, 0.0, 1.04654258593703, 0.016001032391817827, 1.9836065573770492, 2, 2, 24, 0.016129032258064502, 1.0, 1.0, 0.8571428571428571, 0.4196398245707449, 0.0009963241979109884, 0.2, 0.07272727272727272, 0.14035087719298245, 0, 4, 41, 24, 2, 1, 1, 4.53154209780733,ijiege ro erare fu adakikuma ni vua ige mukoreigia fieno kiae,ijiege ro erare fu adanekikuma ni vua ige mukoreigia fieno kiae
00548,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.6993464052287581, 0.41421356237309515, 0.0, 0.2631578947368421, 0.022988505747126436, 0.046296296296296294, 0, 0, 0, 0, 0, 0, 0, 0.1307647842465329,bu ugie ije abe ona irega kijume bu ijia ivaema iritoejekuma bu meru dabe irifo ijia nijake areme bune karina kijume ije karana maeje bu kamui ijia kegaro ise ije bu kari koreke,bu ugie ije abe ona irega kijume bu ijia ivaema iritoejekuma bu meru dabe irifo ijia nijake areme bune karina kijume ije karana maeje bu kamui ijia kegaro ise ije bu kari koreke
