line_number,'mra', 'fuzz_partial', 'levin',transcribed_text,source_text
00054,5,100,5,matiu tiri,matiu
01115,0,98,5,ijadufuo fu urina kiae na oe none ige funeka ma mukoreigia oefiadiedo na nabite na baronedufuo ijadufuo janika igia karina na samuagino kiae,ijadufuo fu urina kiae na oe none ige funeka ma urukeigia oefiadiedo na nabite na baronedufuo ijadufuo janika igia karina na samuagieno kiae
00515,0,100,0,bu ijiege rekinu buka sinuome ro moni ireobo oetuakinu vierafevo ijare vua maeje bu fieva ije buneka toteve ijadufuo vua maeje bu fieva ije fu oe buone ijia tavuana ajia fo kiravo baki,bu ijiege rekinu buka sinuome ro moni ireobo oetuakinu vierafevo ijare vua maeje bu fieva ije buneka toteve ijadufuo vua maeje bu fieva ije fu oe buone ijia tavuana ajia fo kiravo baki
00505,0,100,1,ijadufuo na vierafe vua ije asaea e godido vua vierafena kuaemo fu isuibe kuaema ije fuka ma kuae ro vua ije fu kuaema ije fu ijiege isoe ja vua ije jane fieke rove vua ijiebuo maeje jabe mukoe vierafedufuo ro kuke jane giake rove irere ja giavo ije ja ma vierafekuva baki,ijadufuo na vierafe vua ije asaea e godido vua vierafena kuaemo fu isuibe kuaema ije fuka ma kuae ro vua ije fu kuaema ije bu ijiege isoe ja vua ije jane fieke rove vua ijiebuo maeje jabe mukoe vierafedufuo ro kuke jane giake rove irere ja giavo ije ja ma vierafekuva baki
00340,0,98,3,jesu fune e vua fuone fievo tuero ije kiamo bu rovoga fu daro fuone ije miae fu daro ije fu abena kavene ise kiaga bu e ije arena vadufuo ro adame abevo ije amaeriadufuo ijene miae,jesu fune e vua fuone fievo tuero ije kiamo bu rovoga fu daro fuone ije miae fu daro ije bu abena kavene ise kiaga bu e ije arena vadufuo ro e adame abevo ije amaeriadufuo ijene miae
00350,0,99,3,ro kamui ije jade kena oenoejo ro nime ugone ja savo ijiakiro dia suri ja savo ro mudu ja bijuanoejo ijiaru kena oenoefo ijadufuo maeje irere boeje e iniemoejo bu kedufuo ije bu e ije bu ifejiavo ijiebe ja samuagiakinu ifejiake,ro kamui ije jade kena oenoejo ro nime ugone ja savo ijiakiro dia suri ja savo ro mudu ja bijuanoejo ijiaru kena oenoefo ijadufuo maeje irere boeje e imenoejo bu kedufuo ije bu e ije bu ifejiavo ijiebe ja samuagiakinu ifejiake
00673,0,100,0,ijadufuo maeje erare fu una fuone izege fu ma fivadufuo ijiaru uruke vierafenoeno ije fu rade vame ma karivako ije abekuma baki ro erare fu maza boeje una e gue oetuana ifejiamo ije rade fu vame ma karivako ije abeke,ijadufuo maeje erare fu una fuone izege fu ma fivadufuo ijiaru uruke vierafenoeno ije fu rade vame ma karivako ije abekuma baki ro erare fu maza boeje una e gue oetuana ifejiamo ije rade fu vame ma karivako ije abeke
00489,6,100,8,matiu te tini,matiu
00499,0,97,2,ijiege ro erare fu adakikuma ni vua ige mukoreigia fieno kiae,ijiege ro erare fu adanekikuma ni vua ige mukoreigia fieno kiae
00548,0,100,0,bu ugie ije abe ona irega kijume bu ijia ivaema iritoejekuma bu meru dabe irifo ijia nijake areme bune karina kijume ije karana maeje bu kamui ijia kegaro ise ije bu kari koreke,bu ugie ije abe ona irega kijume bu ijia ivaema iritoejekuma bu meru dabe irifo ijia nijake areme bune karina kijume ije karana maeje bu kamui ijia kegaro ise ije bu kari koreke
