book,chapter,line_number,line_content
MAT,1,00001,"MATIU
MATIU 1"
MAT,1,00002, Jesudo uifari ije bu uinuvena ruoma Jesu bu bieteva ijene
MAT,1,00003, {1} Suvuare ige ijeja izege Jesu Kuraesido asaerafa ije bu e Eburamedo ijia uinuvena ruoma e Devidido ijia usiaena ruoma Jesu bieteva ijene.
MAT,1,00004, {2} Ro e uije ije bu uinuvena ruaeva ije ijiege. E Eburame fu fari fuone e Aeseki bietemoga fu uri fari fuone e Jekafu bietei. Fu Jekafu bietemoga fu uri e Judakiro uviarafa fuone ije nafei.
MAT,1,00005, {3} Areme Juda fu uri ame inokiro e Ferezekiro e Zera nafei ro asie buone ije bara Tama. Ro e Fereze fu uri fari fuone e Ezironi nafenoga fure uri fari fuone e Rame nafei.
MAT,1,00006, {4}-{6} Ro e Rame fu uri fari fuone e Aminadabi nafenoga fu uri fari fuone e Nasoni nafei. Ro e Nasoni fu uri fari fuone e Saramoni nafenoga fu uri fari fuone e Boezi nafei. Ro e Boezido asie ije bara Reabi.
MAT,1,00007, Ro e Boezi fu uri bara Ruti abena e Obedi nafei. Ro e Obedi fu uri fari fuone e Jesi nafenoga fu uri fari fuone Devidi e ije fu Kini rema ije nafei. Areme Devidi fu uri fari fuone e Soromoni nafei ro asie fuone ije fu e Uraeado bara.
MAT,1,00008, {7}-{10} Ro e Soromoni fu uri fari fuone e Reoboame nafenoga fu uri fari fuone e Abaeja nafei. Ro Abaeja fu uri fari fuone e Asa nafenoga Asa fu uri fari fuone e Jeosofati nafenoga fu uri fari fuone e Jorame nafei. 
MAT,1,00009, Ro Jorame fu uri fari fuone e Azaraea nafenoga fu uri fari fuone e Jotami nafenoga fu uri fari fuone e Easi nafei. Ro Easi fu uri fari fuone e Esekaea nafenoga fu uri fari fuone e Manasa nafenoga fu uri fari fuone e Amoni nafei.
MAT,1,00010, {11}-{14} Ro Amoni fu uri fari fuone e Josaea nafenoga fu uri fari fuone e Jekoniakiro iviefari fuone ije nafei. 
MAT,1,00011, Areme e Bebironiko ijiebe usiae Jerusareme sidove ije kenama areme uri e Isureroko ije bune kaenamiana una are buone Babironi ijia vae. Areme rade e Jekonia fu uri fari fuone e Siritero nafenoga fu uri fari fuone e Zerubabero nafei. 
MAT,1,00012, Ro e Zerubabero fu uri fari fuone e Abiudi nafenoga fu uri fari fuone e Eraeakimi nafenoga fu uri fari fuone e Ezo nafei. Ro Ezo fu uri fari fuone e Zedoke nafenoga fu uri fari fuone e Akimi nafenoga fu uri fari fuone e Eriudi nafei.
MAT,1,00013, {15}-{17} Ro e Eriudi fu uri fari fuone e Erisa nafenoga fu uri fari fuone e Matani nafei. Ro e Matani fu uri fari fuone e Jekafu nafenoga fu uri fari fuone e Josofu bara Merido baru ije nafei. Ro bara Merire Jesu e ije bu kua Kuraesino kuavo e ije fu e boeje karauniakiro ruaema ijene biete. 
MAT,1,00014, Ijadufuo e Eburame ijia ruoma e Devidi bu nafeva ijia e uije ije buka e fotini (14) ijiege. Ro una kuke e Devidido uifari ijia ruoma maza ije e Babironiko bu usiae Jerusareme sidove kena areme e Isureroko bu kaenamia Bebironi vaeva ijia e uije bu kuke e fotini (14) ijiege. 
MAT,1,00015, Ro una maza ije bu kaenamia Babironi vaeva ijia ruoma e ije Godi fu abe e nuvuone E Ireobo rema ije bu bieteva ijia e uije bu kuke e fotini (14) ijiege.
MAT,1,00016, Jesu Kuraesi bu bieteva ijene
MAT,1,00017, {18} Ijiege ro Jesu Kuraesi bu bieteva ije fu ijiege. Bara Meri asie fuone ije bu e Josofu manidufuo kuae. Ro fu uria kabaekua baruna naebe naema ijia fu fue ganami gake fu Kavene Akae ijadufuo daro ijia fu e fudiema fu ije gae.
MAT,1,00018, {19} Rove e Josofu fuka e mado fu naebe una Meri e ije fu fudiema ije mesirina dabe kuaegadufuo ije fu naebe ijiege rei. Ijadufuo fume oe fuone ijia Meri fu abedufuo ije fu mauike ijia arekiro fu ijiege vierafei.
