book,chapter,line_number,line_content,
MAT,1,00001,"Mateopa Zeso Cristo tauimari dozo inarraro Mateus
Mateus 1",
MAT,1,00002," {1} Rrehe, arrirraro uimape Zeso Cristo tauimari. Zeso biridi orrariapa Izarraeo potemaui zodeodeni quequenanarraridenicca tamine Dabi. Biridi ouaha naco Izarraeo potemaui zodeodeni bazimacca idi Abarahao. Nazapa Abarahao potemaui onideni ua ineza Zeso imenicca maqqui oni bacco inaniuarrine. ",
MAT,1,00003," {2} Taidepa Abarahao. Abarahaopa Izaquicca abi. Izaquipa Zacacca abi. (Zaca oni ouahapa Izarraeo.) Zaca bedideni orraria onipa Zoda. Poua, poua imecotedeniza: —Izarraeo potemaui zodeodeni −quequenanarrari.",
MAT,1,00004," {3} Zoda bedipa papamade: Pere, Zera quenarrari. Imenideni oninipe Tamara. Perepa Eserocca abi. Eseropa Araocca abi.",
MAT,1,00005, {4} Araopa Aminadabecca abi. Aminadabepa Nahasaocca abi. Nahasaopa Saomocca abi.,
MAT,1,00006, {5} Saomopa Boacca abi. Boa imeni oninipe Rrahabi. Boapa Obedicca abi. Obedi imeni oninipe Rroti. Obedipa Zese-Izahicca abi.,
MAT,1,00007, {6} Zese-Izahipa Dabicca abi. Narrari Dabipa zodeodenicca tamine torrarrari. Pouapa Saromaocca abi. Saromao imenipe Oria bedimeni bote.,
MAT,1,00008, {7} Saromaopa Robouacca abi. Robouapa Abiacca abi. Abiapa Asacca abi.,
MAT,1,00009, {8} Asapa Zosapatecca abi. Zosapatepa Zoraocca abi. Zoraopa Osiacca abi.,
MAT,1,00010, {9} Osiapa Zoataocca abi. Zoataopa Acasecca abi. Acasepa Ezequiacca abi.,
MAT,1,00011, {10} Ezequiapa Manasecca abi. Manasepa Amaocca abi. Amaopa Zosiacca abi.,
MAT,1,00012," {11} Zosiapa Zeconiadenicca abi. Zeconia, poua imecotedeni madimanazapa zama onihicca madirra rrazire eccarronemanarraro. Narraridenina deni toquerrenazapa Izarraeo potemauideni tozepe toquerrenarrari. Poccadeni zama Babironiauarri iaccanibaqqui-manazapa tarabaiauarrine zozosse toquerrenarrari.",
MAT,1,00013, {12} Naza naui zama onihiuarri madimanaza Zeconia bedi tossonarrari. Poua onipa Saratieo. Saratieopa Zorobabeocca abi.,
MAT,1,00014, {13} Zorobabeopa Abiodicca abi. Abiodipa Eriaquiocca abi. Eriaquiopa Azoriacca abi.,
MAT,1,00015, {14} Azoriapa Sadocacca abi. Sadocapa Aquiocca abi. Aquiopa Eriodicca abi.,
MAT,1,00016, {15} Eriodipa Eriasacca abi. Eriasapa Mataocca abi. Mataopa Zacacca abi.,
MAT,1,00017," {16} Zacapa Zozecca abi. Narrari Zozena Mariacca maqqui torrarrariparra. Rrehe, Zozecca amonerre Mariazana Zeso tossonarrari. Narrari Zesona —Ia Idinide Cristo-Mesia −ihinanarraro.",
MAT,1,00018," {17} Rrehe, narraro uimape Zeso biridideni uapi taraha onideni eti rrima-rrerarraro. Abarahao onizama ua izanapozape arricca tamine Dabi oni bacco inezape biridideni 14 quenarrari. Nezape Dabi onizama ua inapomezape Zeconia oni bacco inezape denima biridideni 14 quenarrari.",
MAT,1,00019, Arra Zeconia madizapa Izarraeo potemauideni tozepe toquerrenaza zama Babironiauarri iaccanibaqqui-manarrari. Zotode Zeconia Babironiaza madiza poua onizama ua inapomezape ia Idinide Cristo-Mesia tossonaui bacco inezape denima 14 quenarrari.,
MAT,1,00020, {18} Zeso Cristo tossonauiuarrinecca uimape arrima naporraro. Zeso imeni Mariape Zoze icarriuiuarrine taide imehidenipa rrehe canireporrari. Mariape maqquiderre ssamo taccani. Zozepa pocca ozauarri Maria iaccani-rreraqquezape poniza uada-rraraccaui. Naraha ponipe rriuarraro. Deo Corime uati tazapa poni izoniza erredeni nauatoza uittizarrari.,
MAT,1,00021, {19} Ponicca maqqui torrauiuarrine Zozepa uimari bica tarra narrari. Poni rriuani qqui taraha poniza uima inassonariniuarrine nacassera tarrari. Nazapa poua bodi: —Cacomeheza onebona −narrari.,
MAT,1,00022," {20} Poua bodi nama naraha pocca uadaza Deocca zozosse Poua Atti ccaccaronade auatoza uati tarrari: —Zoze, tiape tamine Dabi potemaui tirrani. Ticappina-rrerarri. Maria rriuaporaha ticarriniuarrine oppinera tani. Arra, Maria poni izoniza erredeni uittizarraripa madirrarrine rraraui. Deo Corime uati taza erredeni carrirraro −narrari.",
MAT,1,00023," {21} —Niza poni bedi tossonazapa onipa “Zeso” tana. (Ettizape: Ia Zozossede madirra Tonassiuauade, inarraro.) Narraripa pocca madirra inassiuauabaqquiuitoui, poccadeni uimasiri manaconi narrizoue pouadeniza inassonari-rreranitoui −narrari Deo Atti ccaccaronade atti.",
MAT,1,00024, {22} Narraro uima bazima uima torraponiuarrinepe maittaccazama Deopa Poua Atti cacomerabote Izaiaza uati taza Izaiana uati iqquimarraro.,
MAT,1,00025," {23} Poua attipa: —Ticattomama canarri. Zouato maqquiderre ssamo teraha rriuezape erredeni carrinitoui. Poni bedizapa: Emanoueo, quequenanauitoui –napoui nade Izaia. (Emanoueo ettizape: Deo iaza madiui, inarraro.)",
MAT,1,00026, {24} Nazapa Zozeza uati uati taha rricazapa Zoze nocco torrarrari. Deo Atti ccaccaronade attiza ibora tazapa Maria icarrirraro.,
MAT,1,00027, {25} Nezape pocca amonerre torreraha poni izonicca erredeni tossona-rraraccazapa poniza uada-rrararrari. Poni bedi tossonazapa Zoze erredeni oni ua inarrari: —Zeso −narrari.,
MAT,2,00028,Mateus 2,
MAT,2,00029, {1} Zesopa oza panani onini Bereiaza tossonarrari. Narraro ozape Zodeauarricca zamacca. Zeso tossonauicca uarranozapa tamine Erodi zama Zodeacca madirra cacauade torrarrari.,
MAT,2,00030, Pouapa oza panani Zerozareza madirrari. Nazapa tamine Erodi nauiza madiui parra naccaza zama uarri tanicca madirra marri ccarronauiuarri rrauirronaza Zerozareza bacco narronemanarrari. Pouadenipa amoua tauimari nauatoqquiri naporrarideni.,
MAT,2,00031, {2} Zerozareza bacco narronemanaza attidenipa: —Nirra? Nerrecouarri Izarraeo potemaui arra zodeodenicca tamine tossonarraritta? −narronemanarrari. —Iape marri ccarronauiuarri imadiza amoua zati qqui icanade.,
MAT,2,00032, Narraro uimape tamine deni torrarrari tossonauitoui quenaporraricca uima torrarraro. Narrari qquide rrauirrarronarraro. Ipitoza rrassi ineza pouaza: “Icca tamine” inaniuarrine −quenarrari.,
MAT,2,00033, {3} Nazapa tamine Erodi narraro uima mittazapa bodi nacassera tarrari. Pocca madirra naui Zerozareza madimanarrarideni uima mittemanaza naco bodideni cappinemanarrari.,
MAT,2,00034," {4} Nazapa tamine Erodipa dada toqquimade taminedeni, zodeodenicca marinarra maridedeni naco inequeriqquiuiuarrine ua inabaqquirrari. Queriqquimanazapa pouadeniza uati tarrari: —Arri Deo Atti dozo naniza ia Idinide Cristo-Mesia tossonauicca uimape nerrecoma naporrarotte? Nerrecouarrina Cristo-Mesia tossonauitoui naporrarotte? −naui nade Erodi.",
MAT,2,00034r," {4} Nazapa tamine Erodipa dada toqquimade taminedeni, zodeodenicca marinarra maridedeni naco inaqueriqquiuiuarrine ua inabaqquirrari. Queriqquimanazapa pouadeniza uati tarrari: —Arri Deo Atti dozo naniza ia Idinide Cristo-Mesia tossonauicca uimape nerrecoma naporrarotte? Nerrecouarrina Cristo-Mesia tossonauitoui naporrarotte? −naui nade Erodi.",
MAT,2,00035, {5} Tamine Erodiza uima ecomeremanarraro: —Zodeauarricca oza panani Bereiazana tossonauitoui. Narraro uimape Deo Atti cacomerabote Miqueo dozo inaporraro.,
MAT,2,00036, {6} Poua atti arrama naporrari: “Bereiacca uima uati onana. Zodeacca zamauarri oza panani uapi teraha Bereiape arrimani torra-rrerani. Uima bicani deni torranicca carrinitoui. Nauiza tamine deni torrauicca tossonauitoui. Pouapa occa madirra Izarraeo potemauideni ecauabaqquiuitoui” napoui nade Deo Atti cacomerabote −quenaui nade zodeodenicca marinarra maridedeni.,
MAT,2,00037," {7} Erodi narraro uima mittazapa arra amoua tauimari nauatoqquiri naporraridenitoui cacomeheza ua inabaqquirrari, poccadeni uima mittauiuarrine. Rrauirronazapa pouadeniza uati tarrari: —Arra amoua zati qqui ticanemanarraripa nerrecoma naza cauatorraritta? −naui nade. Nazapa pouaza amoua tauimari ecomeremanaza mittarrari.",
MAT,2,00038," {8} Nazapa Erodi Bereiauarri zosse iqquimabaqquirrari: —Bereiauarri rraui tirrana. Naniuarri erredenitoui qqui tarizemanana. Bacco tiquenazapa ouaza uati tanimanana. Oua naqui poua qquide oqqueza opitoza ouitteza pouaza: “Occa tamine” onaniuarrine, onarraro −naraha maizarrari. Tamine ouahaza parrima onani narrari Erodi atti.",
MAT,2,00039," {9}-{10} Erodi atti mittemanazapa rraui torrarrari. Rraui torra, rraui torra nanarra amoua arra qqui icanemanaporrari pouadeni tezerrema cauatopomarrari. Cauatopomaza amoua tauimari nauatoqquiri naporrarideni uatizemaneri narrari. Pouadeni tezerrema touaccaza erredeni tossonauicca ozaza queuenacossarrari.",
MAT,2,00040," {11} Nauiza rraui torrezimazapa erredeni qqui, imeni Maria qqui toquenarrari. Pouaza uatizemanazapa pouadeni pitoza rrassi taza: —Tamine deni torraui −quenarrari.",
MAT,2,00041, Pouadeni zepetarri bau bedeni bicaqquiri narraro itaborizemaneza poccadeni danirri erredeniza da inaqquimanarraro. Oro uatini ccara tanicca da iquenarraro. Aua marricone touessiui marro bica tarrari naco da iquenarrari. Aua ouaha oni mirra marricone marro ocassa tauicca naco da iquenarrari.,
MAT,2,00042, {12} Naza zome nauiza cauadirrazapa uada carrimanarrari. Deo pouadeniza uati tarrari: —Tamine Erodiuarripe rraui tirrani-rrerarri. Pocca uima oppina tani −narrari poccadeni uadaza. Nama nazapa poccadeni zamauarri rraui torraniuiuarrinepa Zerozarecca rrauiuarri rraui torrani-rraraui. Rraui onihina rraui torranirrari.,
MAT,2,00043," {13} Nazapa amoua tauimari nauatoqquiri naporrarideni rraui torrania rricaui. Zotodepa Zoze pocca uadaza Deocca zozosse Poua Atti ccaccaronade auatoza atti arrama narrari: —Zoze, nocco tirrarri.",
MAT,2,00044," Uassinarra arra erredeni imeni tazarrani zama Ezitouarri tiaccabaqquirro. Tamine Erodicca zossenirri erredenitoui qqui narizemanabote naui, inanazoqque-manauiuarrine. Nani Ezitouarri timadi-zanapoccana. Niza tiaza uati onapomezana ticcanipomaniuarrine bica tani −narrari.",
MAT,2,00045," {14} Nazapa uassinarra nocco toquerrenaza: —Rrina, rridapana zome icadana −narrari Zoze. Nazapa zomeraha erredeni imeni tazarrani Ezitocca rraui rraui torrarrari.",
MAT,2,00046, {15} Ezitouarri bacco toquenazapa tamine Erodi madiccaza nauiza madimana-zanapoccarrari.,
MAT,2,00047, Narraro uimape maittaccazama Deo uati tapoza Poua Atti cacomerabote Ozea dozo inaporrarope arrima narraro: —Occa Erredeni Ezitouarri madiraha pouatoui uaua onarraro −narrari Deo Atti Ozearrine dozo naniza. Nazapa tamine Erodi zoqqueui uima mittemanazana poccadeni zamauarri rrauinirrari.,
MAT,2,00048, {16} Erodi zoqque-rraraccaza uima arrima inanarraro. Arra amoua tauimari nauatoqquiri naporraridenitoui madiraha pouauarri rrauini-rrarazapa bodi uatomarrari: —Oua icamaizemanarraro −narrari. Nazapa parra uadirirrari.,
MAT,2,00049," Uadizapa tamine zati tossonarrari zori tarrarauiuarrine pocca madirra zosse inabaqquirrari: —Rrari, Bereiaza madimanarrarideni, Bereia uarrira taniza madirizemanarrarideni naco bedideni maqquiderre bedi uarranorideni 2 narrari, uarranorideni arramanicca naco, narrarideni bazima tinarricarizemanauissa tarro −naui nade Erodi.",
MAT,2,00050, Arra amoua zati qqui icanemanaporraricca uarranoza tocatorrarizarrarideni bazima rricarizauiuarrine.,
MAT,2,00050a," (17) Nama quenazapa Izarraeo potemauidenicca erredeni baziraqquiri narrari inarriquemanarrarirrine imehideni, imenideni orri orri quenarrari. Narraro uimape pina maittaccazama Deo Atti cacomerabote Zeremia dozo inaporrarossa narraro torrarraro. Izarraeo potemauidenicca ini maittaccazama madiporraro onini Rraqueo tauimariniza dozo nanipe arrima narraro:",
MAT,2,00051," {18} —Oza panani Ramauarricca zamaza orri imeni torrarraro. Rraqueo potemanidenipe bedidenitoui orri orri quenarraro. Ponidenicca orrie naqui uatinideni ssonaniuarrine touini querarraro, bedideni rricarizaza −napoui nade Deo Atti Zeremiarrine dozo naniza.",
MAT,2,00052, {19} Nazapa zotode tamine Erodi zoqqueui nattipa zama Ezitouarri Deo Atti ccaccaronade Zoze pocca uadaza auatopomaza uati tarrari:,
MAT,2,00053," {20} —Zoze, nocco tirrarri. Arra erredeni imeni tazarrani Izarraeo potemauidenicca zamauarri tiaccanibaqquirro. Erredeni inanazoqque-manauiuarrine toui quenarraridenipa rricaui −naui nade.",
MAT,2,00054, {21} Nazapa Zoze nocco torrazapa narroraza Izarraeodenicca zamauarri erredeni imeni tazarrani iaccanibaqquirrari.,
MAT,2,00055, {22} Naniuarri bacco tanimanazapa Zoze uima mittarrari: —Erodi zoqquezapa poua bedi onipa Aquerao narrarina zama Zodeacca tamine torrarrari −quenarrari.,
MAT,2,00056," Narraricca uima naqui uaidira tarraro, pina imehicca uimassa nezape Zoze nauiuarri madiuiuarrine cappinarrari. Naraha pocca uadaza Deo pouaza uati tarrari: —Arri zama Zodeazape timadimana-rrerarri −naui nade. Nazapa zama arobeni Carireauarrina torroppememanarrari.",
MAT,2,00057, {23} Rraui torrazapa Carireauarri bacco toquenarrari. Nazapa oza panani Nazaretiza madimanarrari. Narraro uimape pina Deo Atti cacomeraqquiri narrarideni madirra Idinide Cristo-Mesia tauimari uati toquenaporrarissa narraro: —Pouaza: “Nazaretiuarricca” quequenanauitoui −quenapoui nade Deo Atti dozo naniza.,
MAT,3,00058,Mateus 3,
MAT,3,00059," {1} Uarrano toccaui uapi taza madirra oni Zouaopa zama arobeni onini Zodeacca uamoni ssono carri, siba carri taniuarri madirra maride torrarrari. Pouaza: Batista, quequenanarrari. (Ettizape: Passo dopaniza niniquide, inarraro.)",
MAT,3,00060, {2} Mari mari ihicanabaqquiriza nazapa arrama nanariza narrari: —Ticcadeni uimasiri tineborizemanarri! Deotouira tizanapomanarri! Deocca cacauehepe iaza bacco narronabote nani −nanarra narrari Zouao.,
