a,b,diff,d,e,41.4303924,17.0251642
04842,4,232,nadsapa pohuadeni madi ridsemanajaricca huajano badsimapa  najari aja esitohuaji huajano c c naha madimanajari madija madide nohuerahuihuaji huajano ct naha jahuiridsajari dsotode canahahuaji bacco toquenadsa huajano de inaha nahuicca madijadsa jasire inanemanajaro nadsama huajano  jicadsana icca idideni huimarideni cattemade tojahuihuajine diopa onideni hua inajonabaqquijari,nazapa pouadeni madirizemanarraricca uarrano bazimapa narrari —nazama uarrano rricazana icca idideni uimarideni cattemade torrauiuarrine deopa onideni ua inarronabaqquirrari,,
05036,4,200,pabropa sira timotidenitohui odsa panani atenadsa madijari nahuidsa madidsapa jassinajacca huadadsa dio atti mamarihuaji totoqquedsima najari jseso tahuimari maride nahuidsapa dsodiodeni dsodio quejena-jarajari diodsa nacasseraqquiri najarideni tedseje quequeriqqui nadsa pohuadeni mari mari iicanabaqqui najari nahuidsapa dsodiodeni dsodio quejena-jarajari diodsa nacassaqquiri najarideni tedseje quequeriqqui nadsa pohuadeni mari mari iicanabaqqui najari,paoropa sira timotideni toui oza panani atenaza madirrari nauiza madizapa rrassinarracca uadaza deo atti mamariuarri totoqquezima narrari zeso tauimari maride nauizapa zodeodeni zodeo querrena rrararrari deoza nacassaqquiri narrarideni tezerre quequeriqqui naza pouadeni mari mari ihicanabaqqui narrari,,
07607,2,153,pocca madija naco ohonajidsobaqqui naccade pohua onidsa tatamasco ohonanaccade bica ona-jereraha diopa ohuadsa huati huana tadsa occa huahidirehe manaconi ohua najidsojarajari jeso cristodsa jehe ona-jeraccadsa huahidirehe onanaridsani ssamo huonaqquedsa dio ohuadsa nama najari bica onajereraha diopa ohuadsa huati huanatadsa occa huahidirehe manaconi ohua najidso-jarajari,pocca madirra naco ohonarrizobaqqui naccade poua oniza tatamasso ohonanaccade bica onerreraraha deopa ouaza uati uana taza occa uaidirehe manaconi oua narrizo rrararrari zeso cristoza rrehe onarreraqqueza uaidirehe onanarizani ssamo onaqqueza deo ouaza nama narrari,,
02856,5,123,nadsapa dsama nemanehedsa madiridsemanajarideni naco diocca cacahuehehuaji jahuijonana canahuitohui motapa israeldeni quejena jararaha ohuadsa pajissa quenajarideni naco jahuijonana canahuitohui ejeti imenidsa dsama tapa huahua naridsa jassi nahuajanihuitohui n,nazapa zama nemaneheza madirizemanarrarideni naco deocca cacaueheuarri rrauirronana canauitoui motapa izarraeodeni querrena rrararaha ouaza parrissa quenarrarideni naco rrauirronana canauitoui deo pocca cacaueheza queriqquimanazapa pocca rripaqquiecca errete imeniza zamatapa uauanariza rrassi nauarraniuitoui,,
08840,4,119,madija ohuahadeni naco poccadeni huaidirehedsa da meraqquiri nadsapa ticcadeni tohuati huanehema acco ticanabaqquimanana naraha paji poccadeni huaidirehe tiadenidsa ani-jeranihuajine tiadeni tecahuemananissa tana poccadeni huaidirehedsa nacasseraqquiri tiquinaji onajaro naraha paji poccadeni huaidirehe tiadenidsa ani-jeranihuajine tiadeni techuemananissa tana n,madirra ouahadeni naco poccadeni uaidireheza dameraqquiri nazapa ticcadeni touati uanehema acco ticanabaqquimanana naraha parri poccadeni uaidirehe tiadeniza anirreraniuarrine tiadeni tecauemananissa tana poccadeni uaidireheza nacasseraqquiri tiquenarri onarraro,,
09126,5,118,nadsapa ocattoma cananeja ehuehue bedi jeso sono sioadsa hua canahui qqui onade pohuadsa madija c mil quenaha domo huajari huassaridenidsa dodso nanipe ehuehue bedi jeso oni imehi oni cajimanajari qqui onajaro nadsapa ocattoma cananeja ehuehue bedi jeso ssono sioadsa hua canahui qqui onade n,nazapa ocattoma cananerra eueue bedi zeso ssono sioaza ua canaui qqui onade pouaza madirra mil quenaha domo uarrari uassarideniza dozo nanipe eueue bedi zeso oni imehi oni carrimanarrari qqui onarraro,,
03347,6,111,pohuapa jesocca dsodsosse tabaqqui d quenajari ojaria taminedeni naco nahuidsa cattade domohuadsa attideni huahidira tadsa jesodsa jidsa-jidsa quenajari ajana madija ohuaha ina sihuahua abaqquiraha jidapanana pohua tonasihuahuana pajissa madija tonasihuahuade cristo mesias tojahuihuajine dio icattejidsadsapa nama nahuiqqui inana nahuato taranaja quenajari n,madirra bazima nauiza cattade domo uarrari taminedeni naco nauiza cattade domo uaza attideni uaidira taza zesoza rriza rriza quenarrari —arrana madirra ouaha inassiuauabaqquiraha rridapanana poua tonassiuauana parrissa madirra tonassiuauade cristo mesia torrauiuarrine deo icatterrizazapa nama naui qqui inana nauato taranarra quenarrari,,
08478,5,104,najaro huima dio atti dodsonanidsape ajima nani madija badsimacca madiepe pina mina ssa najaro madijacca biquehe naqui pina ahua mohuecca biquehe ssa najaro minape ama dsati qquedse nedsa jica tani mohue naco ama dsati qquedse nadsa catojaha jica tahui madimana dsanapo jarahui caco tadsapa jicahuitohui n,narraro uima deo atti dozo nanizape arrima nani —madirra bazimacca madiepe pina minassa narraro madirracca biquehe naqui pina aua mouecca biquehessa narraro minape amazati qqueze neza rrica tani moue naco amazati qqueze naza catorraha rrica taui madirra naco pina narraro uimassa quenarrari madimanazanapo rraraui cacotazapa rricauitoui,,
01452,5,103,naraha occa marinaja timittema neraha ohuatti tecahuemane-jeredsape occa marinaja odi ninitohui onajaro nedsape tiadeni tiadenira ticamaidsonimanedsa naqui dio atti ocajini nahuato onani tiqueneraha najaro naqui odi ninitohui paji nema tiquenejeraji onajaro nahui nade dseson,arri tiadeni ouatti tecauemanezape denima ticauatteranitoui naraha occa marinarra timittemaneraha ouatti tecauemane rrerezape occa marinarra odininitoui onarraro nezape tiadeni tiadenira ticamaizanimaneza naqui deo atti ocarrini nauato onani tiqueneraha narraro naqui odininitoui parri nema tiquenerrerarri onarraro naui nade zeso,,
05290,4,103,nadsapa dada toqquimade taminedeni imejocohuideni tedseje pohuadenidsa huatide jahui tojajari ia pehuima inajorajaro paoro inanadsoqquehihuajine ettissa inane-jeredsape dio ia tonajidsobaqquidsa bica tani inajaro quenajari,nazapa dada toqquimade taminedeni ime rrocouideni tezerre pouadeniza uatide rraui torrarrari —iape uima inarrorarraro paoro inanazoqqueuiuarrine inanazoqque rraraccazama irripa rreraccana inarraro ettissa inane rrerezape deo ia tonarrizo baqquiza bica tani inarraro quenarrari,,
