ISO 693-3,Language Name,Language Family,ASR,TTS,LID
aaa,Ghotuo,Niger-Congo,,,✔️
aab,Arum,Niger-Congo,,,✔️
aac,Ari,Trans-New Guinea,,,✔️
aad,Amal,Sepik,,,✔️
aaf,Aranadan,Dravidian,,,✔️
aai,Miniafia Oyan,Austronesian,,,✔️
aal,Afade,Afro-Asiatic,,,✔️
aar,Afar,Afro-Asiatic,,,✔️
aau,Abau,Sepik,,,✔️
aaw,Solong,Austronesian,,,✔️
aaz,Amarasi,Austronesian,,,✔️
aba,Abé,Niger-Congo,,,✔️
abi,Abidji,Niger-Congo,✔️,✔️,✔️
abk,Abkhaz,Abkhaz-Adyghe,✔️,,✔️
abm,Abanyom,Niger-Congo,,,✔️
abn,Abua,Niger-Congo,,,✔️
abo,Abon,Niger-Congo,,,✔️
abp,"Ayta, Abellen",Austronesian,✔️,✔️,✔️
abr,Abron,Niger-Congo,,,✔️
abs,"Malay, Ambonese",Creole,,,✔️
abt,Ambulas,Sepik,,,✔️
abu,Abure,Niger-Congo,,,✔️
abz,Abui,Trans-New Guinea,,,✔️
aca,Achagua,Maipurean,✔️,✔️,✔️
acd,Gikyode,Niger-Congo,✔️,✔️,✔️
ace,Aceh,Austronesian,✔️,✔️,✔️
acf,Lesser Antillean French Creole,Creole,✔️,✔️,✔️
ach,Acholi,Nilo-Saharan,✔️,✔️,✔️
acn,Achang,Sino-Tibetan,✔️,✔️,✔️
acr,Achi,Mayan,✔️,✔️,✔️
acu,Achuar-Shiwiar,Jivaroan,✔️,✔️,✔️
acv,Achumawi,Palaihnihan,,,✔️
acz,Acheron,Niger-Congo,,,✔️
ada,Dangme,Niger-Congo,,,✔️
add,Lidzonka,Niger-Congo,,,✔️
ade,Adele,Niger-Congo,✔️,✔️,✔️
adh,Jopadhola,Nilo-Saharan,✔️,✔️,✔️
adi,Adi,Sino-Tibetan,,,✔️
adj,Adioukrou,Niger-Congo,✔️,✔️,✔️
adl,"Adi, Galo",Sino-Tibetan,,,✔️
adn,Adang,Trans-New Guinea,,,✔️
ado,Abu,Ramu-Lower Sepik,,,✔️
adq,Adangbe,Niger-Congo,,,✔️
adx,"Tibetan, Amdo",Sino-Tibetan,✔️,✔️,✔️
ady,Adyghe,Abkhaz-Adyghe,,,✔️
adz,Adzera,Austronesian,,,✔️
aee,"Pashai, Northeast",Indo-European,,,✔️
ael,Ambele,Niger-Congo,,,✔️
aeu,Akeu,Sino-Tibetan,✔️,✔️,✔️
aey,Amele,Trans-New Guinea,,,✔️
aez,Aeka,Trans-New Guinea,,,✔️
afe,Utugwang-Irungene-Afrike,Niger-Congo,,,✔️
afi,Chini,Ramu-Lower Sepik,,,✔️
afo,Ajiri,Niger-Congo,,,✔️
afr,Afrikaans,Indo-European,✔️,,✔️
afu,Awutu,Niger-Congo,,,✔️
afz,Obokuitai,Lakes Plain,,,✔️
agb,Legbo,Niger-Congo,,,✔️
agc,Agatu,Niger-Congo,,,✔️
agd,Agarabi,Trans-New Guinea,✔️,✔️,✔️
age,Angal,Trans-New Guinea,,,✔️
agf,Arguni,Austronesian,,,✔️
agg,Angor,Senagi,✔️,✔️,✔️
