line_number,'hamming', 'mlipns', 'levenshtein', 'damerau_levenshtein', 'jaro_winkler', 'jaro', 'strcmp95', 'smith_waterman', 'jaccard', 'sorensen_dice', 'tversky', 'overlap', 'tanimoto', 'cosine', 'monge_elkan', 'bag', 'lcsseq', 'lcsstr', 'ratcliff_obershelp', 'arith_ncd', 'rle_ncd', 'bwtrle_ncd', 'sqrt_ncd', 'entropy_ncd', 'bz2_ncd', 'lzma_ncd', 'zlib_ncd', 'mra', 'editex', 'prefix', 'postfix', 'length', 'identity', 'matrix', 'average',transcribed_text,source_text
01788,77, 1, 7, 7, 0.13419769680479865, 0.1677471210059983, 0.13233698010432537, 9.0, 0.0674157303370787, 0.03488372093023251, 0.0674157303370787, 0.02352941176470591, 1.1006939996194731, 0.034818468485746434, 1.9885057471264367, 4, 5, 49, 0.046511627906976716, 1.0092879256965945, 1.0, 0.7619047619047619, 0.4183597344778817, 0.002154101711250482, 0.3333333333333333, 0.15873015873015872, 0.2535211267605634, 2, 8, 85, 49, 2, 1, 1, 9.256921981677568,ma sara o yesusuwa taaere o tokatika geea bato ibotohi notemo ho nohupuoka unangoka gea,masara o yesusu wataere o tokatika gea wato ibootohi notemo ho nohupuoka unangoka gea
01967,20, 0, 3, 3, 0.00688998357963877, 0.011483305966064616, 0.00688998357963877, 4.0, 0.005714285714285672, 0.002865329512893977, 0.005714285714285672, 0.0, 1.0082676159836004, 0.002861236193420158, 1.9942528735632183, 1, 2, 72, 0.008595988538681931, 1.0044576523031203, 1.0, 0.7151515151515152, 0.4147305893891214, 0.000735896470383625, 0.2926829268292683, 0.043010752688172046, 0.12280701754385964, 0, 6, 124, 160, 1, 1, 1, 11.90138562466827,de manga demo wohimoteke o yesusu ho wato wosobo ma saraka de wofarene ma ngotiroko de una abe ma dihira iwikokitokata duru womagahoko o yesusika wato ngohi kaidadi toniniiki,de manga demo wohimoteke o yesusu ho wato wosobo masara ka de wofarene ma ngotiroko de una abe ma dihira iwikokitokata duru womagahoko o yesusika wato ngohi ka idadi toniniiki
01777,107, 1, 10, 10, 0.0987487757404446, 0.16458129290074097, 0.0973159271519074, 12.0, 0.07471264367816088, 0.03880597014925369, 0.07471264367816088, 0.0359281437125748, 1.1120266177341114, 0.03880168767897729, 1.9940119760479043, 7, 8, 111, 0.04477611940298509, 1.003257328990228, 1.0, 0.7388535031847133, 0.41771463154049016, 0.005850491642429683, 0.4017094017094017, 0.11494252873563218, 0.24074074074074073, 2, 17, 163, 167, 1, 1, 1, 18.402867365424086,ho gee o yesusu waika wahingahu ngahu bato ma oraha donoka itigioka ma jou wahikoano matamataika ho ngini kiani nitoba nia howonino de niangaku o habari ma do dahaiina,ho gea o yesusu waika wahingahu ngahu wato ma oraha adonoka itigioka ma jou wahikoano mata mataika ho ngini kiani nitoba nia howonino de niangaku o abari ma rorahai naa
01763,201, 1, 7, 7, 0.08386639245443583, 0.13977732075739302, 0.08386639245443583, 8.0, 0.012552301255230103, 0.0063157894736841635, 0.012552301255230103, 0.0, 1.0182237586189073, 0.0062959702482988655, 1.9957627118644068, 3, 5, 79, 0.01473684210526316, 1.0011198208286674, 1.0, 0.6444444444444445, 0.4159192263202415, 0.00015202425878648403, 0.2608695652173913, 0.07207207207207207, 0.14482758620689656, 0, 11, 219, 79, 3, 1, 1, 18.58568689764223,de nagali abe wahigaaro nyawa la wihigunoa una woiki onangika la idadi o do dunguu abe ona yotoba manga howo howonino gea de iwiniikoli ma jouika ho o yohanese wagoungu wohidiaiohi o yesusu ai ngekomo la ahao o nyawa iwidafongo unangika,de nagali abe wahigaro o nyawa la iwihigunoa una waohiki onangika la idadi o dodunguu abe ona yotoba manga howo howonino gea de iwiniikoli ma jouika ho o yohanese wagoungu wohidiaiohi o yesusu ai ngekomo la ahao o nyawa iwidafongo unangika
02338,172, 1, 8, 8, 0.07550725961099436, 0.1258454326849906, 0.07550725961099436, 12.0, 0.016877637130801704, 0.008510638297872353, 0.016877637130801704, 0.008510638297872353, 1.024557104243979, 0.008510638297872353, 1.995744680851064, 2, 4, 165, 0.017021276595744705, 0.9988623435722411, 1.0, 0.6650943396226415, 0.4145111794100357, 0.0005053079601158954, 0.31756756756756754, 0.07766990291262135, 0.17647058823529413, 1, 12, 182, 231, 0, 1, 1, 23.73600445388334,de una wolio ma redi ma dutuika de ahao ma dutu ai hu huloko womatengoli wihidingoto abe ma redi yogoa goanika de una ngo ma iwipohali hiadono ai peaika iwilaboka de duru iwidoa doana de una ngo koidadiuwa wamake ho wolio womahomoadika,de una wolio ma redi ma dutuika de ahao ma dutu ai huhuloko womatengoli wihidingoto abe ma redi yogoa goanika de unangoo ma iwipohali hiadono ai peaika iwilaboka de duru iwidoa doana de unangoo ko idadiua wamake ho wolio womahomoa dika
01973,182, 1, 4, 4, 0.07278945815031501, 0.12131576358385843, 0.07278945815031501, 5.0, 0.008298755186721962, 0.004166666666666652, 0.008298755186721962, 0.0, 1.012022528249213, 0.004158022167533804, 1.99581589958159, 2, 3, 98, 0.008333333333333304, 0.9988789237668162, 1.0, 0.6441441441441441, 0.41501605655176843, 0.0009687775171875729, 0.2751677852348993, 0.056074766355140186, 0.13043478260869565, 0, 8, 190, 221, 2, 1, 1, 21.43613746695397,de womamotumuku de duru womagahoko unangika wato ma rai to ngohi ngohiora kamoetekohi ma muna ngade ngade de mohonenge ho ngohi togahoko ngona nohiniiki ahi tauino de nomiso de ani giama la motogumu ami kangelaino la kaidadi muna mowangohi,de womamotumuku de duru womagahoko unangika wato marai to ngohi ngohi ora ka moetekohi ma muna ngade ngade de mohonenge ho ngohi togahoko ngona nohiniiki ahi tauino de nomiso de ani giama la motogumu ami kangelaino la ka idadi muna mowangohi
02609,131, 1, 26, 25, 0.09267715596877046, 0.15446192661461744, 0.09133297574348886, 29.0, 0.11578947368421055, 0.06145251396648044, 0.11578947368421055, 0.0117647058823529, 1.1775381855521876, 0.0602639307498023, 1.9947940244454505, 20, 22, 144, 0.07262569832402233, 1.0055172413793103, 1.0, 0.7325581395348837, 0.4672298174633462, 0.01766381839046823, 0.48507462686567165, 0.1935483870967742, 0.3114754098360656, 3, 44, 144, 188, 18, 1, 1, 23.68122227956418,de womahimatoko ibooto de onangoo yolio de o nangoo yoiki yahingahu o yesusu ai dodia woika ato ngomi aha ona wiwimake o yesusu ma sara manga demo to nangoo ma koyangakuwa em penyuttnn 208,de womahimatoko ibooto de onangoo yolio de onangoo yoiki yahingahu o yesusu ai dodiawoika ato ngomi ahao naa wiwimake o yesusu masara manga demo to onangoo ma ko yangakua
01888,100, 1, 10, 10, 0.08616189682319164, 0.14360316137198603, 0.08517009354450311, 12.0, 0.048387096774193505, 0.024793388429752095, 0.048387096774193505, 0.01666666666666672, 1.0715532610250338, 0.02476008276175279, 1.9918032786885247, 4, 7, 86, 0.04958677685950408, 1.002202643171806, 1.0, 0.7288135593220338, 0.41849838406418916, 0.001841309192968618, 0.36082474226804123, 0.16901408450704225, 0.3023255813953488, 0, 17, 118, 106, 2, 1, 1, 14.193364503048258,de ma moioli kaidadi tosiketero nako o tau moi de yomaketeli liara de kaihikaika yomakokalawana gee ona ngo yahikapusakoka,de moioli ka idadi tohiketero nako o tau moi de yomaketeliliara de ka ihikaika yomakokalawana gea onangoo yahikapusakoka
01863,253, 1, 9, 9, 0.0850790158929694, 0.1417983598216157, 0.0850790158929694, 11.0, 0.01661129568106312, 0.008375209380234505, 0.01661129568106312, 0.0, 1.0241663111307522, 0.008340429220321188, 1.9966216216216217, 5, 7, 230, 0.015075376884422065, 1.0035618878005343, 1.0, 0.6791044776119403, 0.41980827807619725, 0.0028764982457726135, 0.29213483146067415, 0.11570247933884298, 0.2, 0, 16, 291, 262, 5, 1, 1, 32.5914984230512,de o yesus womalega ari hononga de wongamo anga moi ai dohata howonika de ai hininga duru ihuha ma titi manga pea kohadogowini hohiadono wakokidamaanoka de witemo ai giama ihelu helukika wato nagorakie ani giama de wagorakie ai giama de idadi imakadaene abehoka ai giama ma honongali ho itogumoka,de o yesusu womalega arihononga de wongamo angamoi ai dohata o howonika de ai hininga duru ihuha ma titi manga pea kohadogowini ho hiadono wakokidamaanoka de witemo ai giama ihelu helukika wato nagorakiye ani giama de wagorakiye ai giama de idadi imakadaene abe hoka ai giama ma honongali ho itogumoka
02037,208, 1, 13, 13, 0.08130719298707922, 0.13551198831179867, 0.08043602378630965, 16.0, 0.039145907473309594, 0.019963702359346636, 0.039145907473309594, 0.014598540145985384, 1.057610723170095, 0.0199491758545145, 1.9963898916967509, 7, 10, 219, 0.030852994555353952, 1.007820136852395, 1.0, 0.6639676113360324, 0.4155923959831587, 0.0012070128403011483, 0.3592814371257485, 0.11965811965811966, 0.2468354430379747, 0, 22, 255, 252, 3, 1, 1, 30.244978653077872,de yomahiadonikaka de yofarene ma ngigorie de o yesusu de manga ngoe ngoe gee wamake wamake de duru wadora ona gea de bato hioko abeika o nanaa yomaketero hoka o domba abe koiwa ma go goana ho kogea ai hininga ho womulaenge wadotoko onangika abe ai do dotoko ma titi ma ngoeika,de yomahiadonikaka de wofarene ma ngigoriye o yesusu de manga ngoe ngoe gea wamake wamake de duru wadora ona gea de wato hiokoo abeika ona naa yomaketero hoka o domba abe ko iwa ma gogoana hokogea ai hininga ho womulaenge wadotoko onangika abe ai dodotoko ma titi ma ngoeika
