line_number,'mra', 'fuzz_partial', 'levin',transcribed_text,source_text
01788,2,95,7,ma sara o yesusuwa taaere o tokatika geea bato ibotohi notemo ho nohupuoka unangoka gea,masara o yesusu wataere o tokatika gea wato ibootohi notemo ho nohupuoka unangoka gea
01967,0,99,3,de manga demo wohimoteke o yesusu ho wato wosobo ma saraka de wofarene ma ngotiroko de una abe ma dihira iwikokitokata duru womagahoko o yesusika wato ngohi kaidadi toniniiki,de manga demo wohimoteke o yesusu ho wato wosobo masara ka de wofarene ma ngotiroko de una abe ma dihira iwikokitokata duru womagahoko o yesusika wato ngohi ka idadi toniniiki
01777,2,96,10,ho gee o yesusu waika wahingahu ngahu bato ma oraha donoka itigioka ma jou wahikoano matamataika ho ngini kiani nitoba nia howonino de niangaku o habari ma do dahaiina,ho gea o yesusu waika wahingahu ngahu wato ma oraha adonoka itigioka ma jou wahikoano mata mataika ho ngini kiani nitoba nia howonino de niangaku o abari ma rorahai naa
01763,0,98,7,de nagali abe wahigaaro nyawa la wihigunoa una woiki onangika la idadi o do dunguu abe ona yotoba manga howo howonino gea de iwiniikoli ma jouika ho o yohanese wagoungu wohidiaiohi o yesusu ai ngekomo la ahao o nyawa iwidafongo unangika,de nagali abe wahigaro o nyawa la iwihigunoa una waohiki onangika la idadi o dodunguu abe ona yotoba manga howo howonino gea de iwiniikoli ma jouika ho o yohanese wagoungu wohidiaiohi o yesusu ai ngekomo la ahao o nyawa iwidafongo unangika
02338,1,98,8,de una wolio ma redi ma dutuika de ahao ma dutu ai hu huloko womatengoli wihidingoto abe ma redi yogoa goanika de una ngo ma iwipohali hiadono ai peaika iwilaboka de duru iwidoa doana de una ngo koidadiuwa wamake ho wolio womahomoadika,de una wolio ma redi ma dutuika de ahao ma dutu ai huhuloko womatengoli wihidingoto abe ma redi yogoa goanika de unangoo ma iwipohali hiadono ai peaika iwilaboka de duru iwidoa doana de unangoo ko idadiua wamake ho wolio womahomoa dika
01973,0,99,4,de womamotumuku de duru womagahoko unangika wato ma rai to ngohi ngohiora kamoetekohi ma muna ngade ngade de mohonenge ho ngohi togahoko ngona nohiniiki ahi tauino de nomiso de ani giama la motogumu ami kangelaino la kaidadi muna mowangohi,de womamotumuku de duru womagahoko unangika wato marai to ngohi ngohi ora ka moetekohi ma muna ngade ngade de mohonenge ho ngohi togahoko ngona nohiniiki ahi tauino de nomiso de ani giama la motogumu ami kangelaino la ka idadi muna mowangohi
02609,3,97,26,de womahimatoko ibooto de onangoo yolio de o nangoo yoiki yahingahu o yesusu ai dodia woika ato ngomi aha ona wiwimake o yesusu ma sara manga demo to nangoo ma koyangakuwa em penyuttnn 208,de womahimatoko ibooto de onangoo yolio de onangoo yoiki yahingahu o yesusu ai dodiawoika ato ngomi ahao naa wiwimake o yesusu masara manga demo to onangoo ma ko yangakua
01888,0,95,10,de ma moioli kaidadi tosiketero nako o tau moi de yomaketeli liara de kaihikaika yomakokalawana gee ona ngo yahikapusakoka,de moioli ka idadi tohiketero nako o tau moi de yomaketeliliara de ka ihikaika yomakokalawana gea onangoo yahikapusakoka
01863,0,98,9,de o yesus womalega ari hononga de wongamo anga moi ai dohata howonika de ai hininga duru ihuha ma titi manga pea kohadogowini hohiadono wakokidamaanoka de witemo ai giama ihelu helukika wato nagorakie ani giama de wagorakie ai giama de idadi imakadaene abehoka ai giama ma honongali ho itogumoka,de o yesusu womalega arihononga de wongamo angamoi ai dohata o howonika de ai hininga duru ihuha ma titi manga pea kohadogowini ho hiadono wakokidamaanoka de witemo ai giama ihelu helukika wato nagorakiye ani giama de wagorakiye ai giama de idadi imakadaene abe hoka ai giama ma honongali ho itogumoka
02037,0,96,13,de yomahiadonikaka de yofarene ma ngigorie de o yesusu de manga ngoe ngoe gee wamake wamake de duru wadora ona gea de bato hioko abeika o nanaa yomaketero hoka o domba abe koiwa ma go goana ho kogea ai hininga ho womulaenge wadotoko onangika abe ai do dotoko ma titi ma ngoeika,de yomahiadonikaka de wofarene ma ngigoriye o yesusu de manga ngoe ngoe gea wamake wamake de duru wadora ona gea de wato hiokoo abeika ona naa yomaketero hoka o domba abe ko iwa ma gogoana hokogea ai hininga ho womulaenge wadotoko onangika abe ai dodotoko ma titi ma ngoeika
02023,0,98,5,de o nyawa abe yokokurutie o galilea ma tonakoka ona manga ngoe yaniiki ai rame ramioka gea abe ona yoko kurutie naga utu abe yahipareta manga kokawahaika de naga utu o tentara ma nyawa manga hohidimono,de o nyawa abe yokokurutiye o galilea ma tonakoka ona manga ngoe yaniiki ai rame rameoka gea abe ona yokokurutiye naga utu abe yahipareta manga kokawaahaika de naga utu o tentara ma nyawa manga hohidimono
01877,0,97,6,de hokona ona yangi moi de yahinoto gee manga romanga abe naga o simono abe una geea o yesusu wihiromangoli o petrusu,de hokonaa ona yangimoi de yahinooto gea manga romanga abe naga o simono abe una gea o yesusu wihiromangoli o peturusu
02166,3,99,25,de gea manga dorou unangika idadi duru imaketero hoka ma do dihiraka ihitulihukuoka ma jou ai demo demoka hona ngohioli tinileha nginika naga ma jou ai demo demoka ihitulihukuoka ma titi ngohi o nyawa ma ngofaka abe ahao ihidohata de ihioluku de hiadono ihihikangela ma ngoe ho gea ma titi okia abe ika gea niafikirohi em m eynyutnttnn 08,de gea manga dorou unangika idadi duru imaketero hoka ma dodihiraka ihitulihukuoka ma jou ai demo demoka ho naa ngohioli tinileha nginika naga ma jou ai demo demoka ihitulihukuoka ma titi ngohi o nyawa ma ngofaka abe ahao ihidohata de ihioluku de hiadono ihihikangela ma ngoe ho gea ma titi o kia abeika gea niafikirohi
02172,3,97,16,ho abe ma oraha ma tokata wibarene gee iwihirubauku ma tonakuku ahi ngofaka de ai uruoka naga ai kibiri iuihi de nagali ai ngingiri kaihikaika wohikokagoli de nagali ai badangoli duru itiri tirihoka hoka ngano togahoko yaahiwoika abe ini niiniiki la tato ma tokata yahititoko una ngino ma sara ona koyakunuwa,ho abe ma oraha ma tokata iwibarene gea iwihirubauku ma tonakuku ahi ngofaka de ai uruoka naga ai kibiri iuihi de nagali ai ingiri ka ihikaika wohikagoli de nagali ai badangoli duru itiri tirihoka ho kangano togahoko yahiwoika abe ininii niiki la tato ma tokata yahititoko unangino masara ona ko yakunua
