book,chapter,line_number,line_content
MRK,1,01754,O Maruku O Maruku 1
MRK,1,01755,"{1}  Hokonaa imulaenge ma ade-ade abe hohiromanga o Abari ma Rorahai. De o abari naa ihititi o Yesusu Kristusu ai wowangoino, abe Una gea Ma Jou ai Ngofaka de to ngone nanga Koano abe ma dodihirainohi Ma Jou wonahibehehongoka ngoneino."
MRK,1,01757,{2-3}  De to Yesusu ai Abari ma Rorahai imulaenge de o nyawa womatengo abe ai romanga o Yohanese. De una gea Ma Jou wihidingoto la ma oraha o Yesusu ko woboauahi de o Yohanese ka idadi wohidiaiohi o Yesusu ai ngekomo. De gea idadi duru imaketero abe hoka ma dihiraino ihitulihukuoka Ma Jou ai uru ma dodofanga ai bukuoka.
MRK,1,01758,"Abe ma dihiraino gea de Ma Jou wihiakunu ai nyawa womatengo o Yesaya la ka idadi wohitulihuku Ma Jou ai demo. De naga moi Ma Jou ai demoka abe witemo to Una ai Ngofaka o Yesusika de wihitararono Unangika ma titi o Yohanese, de gea ai demo hamake o Yesaya ai bukuoka."
MRK,1,01759,"De hokonaa Ma Jou o Baba ai demo abe wotemo ai Ngofakika wato, “Abeika Ngohi ahao tihidingoto womatengo la wototaka ahi demo-demo o nyawaika. De una gea tihidingoto wohira la to Ngona ani ngekomo wonihidiai, de ahao Ngona nihidoduruika ai poretino."
MRK,1,01760,"Ho ahao naga to una ai ilingi o tonaka ma kakaahaka, waamo-amokiye wabobanarata wahitararono o nyawaika wato, ‘O ngekomo nihidiaioka la nanga Baluhu ka idadi woboa genangino. Nihitiaioka to Una ai ngekomo gea!’” Hokogea ma dihira ihitulihukuoka Ma Jou o Baba ai demo abe wotemo to Una ai Ngofakika."
MRK,1,01761,{4}  De gea ma demo duru igoungu abe ihidumutu o Yohanesika abe wotobaohi-ohiki o nyawa. Angamoi una gea abe woboa o tonaka ma kakaahaino de duru wahigaro o nyawaika la ona ahao iwidafongo o Yesusu ai hininga.
MRK,1,01762,Abe o Yohanese wahitiari de wahigaro o nyawaika wato kiani yoporete manga howo-howonika de yomangali Ma Jouino la Una ka idadi waofi manga howono gea.
MRK,1,01763,De nagali abe wahigaro o nyawa la iwihigunoa Una waohiki onangika la idadi o dodunguu abe ona yotoba manga howo-howonino gea de iwiniikoli Ma Jouika. Ho o Yohanese wagoungu wohidiaiohi o Yesusu ai ngekomo la ahao o nyawa iwidafongo Unangika.
MRK,1,01764,"{5}  De gea naga o nyawa duru ko manga ngoe yoboa o Yohanesino abe utu o Yudea ma tonakoka naga manga ngi homoi-homoiino ona yokokiboa o Yohanesino. De abe yogogere o Yerusaleeme ma kotaka, ma onangoo gea mata-mata yokokiboaino o Yohanesino. De ona abe manga howono yomangaku gea o Yohanese waohiki o Yorodani ma akeruku."
MRK,1,01765,"{6}  De o Yohanese ai pakeanga o unta ma gogoino de ai goronaino womahidabanino ka ma moi de ai baju, de ai ban o aewani ma kai. De una gea ai inomo o kabotara de o ofungu ma gula."
MRK,1,01766,"{7}  De o Yohanese wahingahu-ngahu o nyawaika wato, “Ahao naga womatengo woboa wohihidoduruino de ka Unangohi woputurungu ho ngaro ngohi todadi o gilaongo abe totobahupu-huputu o nyawa manga sandaala, ma nako to Una gea ai sandaala, ngohi naa ko tadadiua tahuputu."
