line_number,mra,difference,transcribed_text,source_text
01788,2,5,ma sara o yesusu wataaere 'o tokatika gea bato ibotohi notemo ho nohupuoka unangoka gea,masara o yesusu wataere o tokatika gea wato ibootohi notemo ho nohupuoka unangoka gea
01967,1,12,de manga demo wohimoteke 'o yesusu ho wato wosobo ma saraka de wofarene ma ngotiroko de 'una 'abe ma dihira 'iwi kokitokata duru womagahoko 'o yesusika wato ngohi kai dadi to niniki,de manga demo wohimoteke o yesusu ho wato wosobo masara ka de wofarene ma ngotiroko de una abe ma dihira iwikokitokata duru womagahoko o yesusika wato ngohi ka idadi toniniiki
01777,2,10,ho gea 'o yesusu waika wahingahu-ngahu wato ma 'oraha donoka 'itigioka ma jou wahikoano mata-mataika ho ngini kiani nitoba nia howonino de nia ngaku 'o abari ma rorahaina,ho gea o yesusu waika wahingahu ngahu wato ma oraha adonoka itigioka ma jou wahikoano mata mataika ho ngini kiani nitoba nia howonino de niangaku o abari ma rorahai naa
01763,0,9,de nagali abe wahigaro nyawa la wihigunoa una woiki onangika la idadi o dodungu abe ona yotoba manga howo-howonino gea de iwinikoli ma jouika ho o yohanese wa goungu wohidiaiohi o yesusu ai ngekomo la ahao o nyawa iwidafongo unangika,de nagali abe wahigaro o nyawa la iwihigunoa una waohiki onangika la idadi o dodunguu abe ona yotoba manga howo howonino gea de iwiniikoli ma jouika ho o yohanese wagoungu wohidiaiohi o yesusu ai ngekomo la ahao o nyawa iwidafongo unangika
02338,2,19,de 'una wolio ma redi ma dutuika de ahao ma dutu 'ai huhuloko womatengoli wihidingoto abe ma redi yogoa-goanika de 'una ngo ma 'iwipohali hiadono 'ai peaika 'iwilaboka de duru 'iwidoa-doana de 'una ngo koidadiuwa wamake howolio woma homoadika,de una wolio ma redi ma dutuika de ahao ma dutu ai huhuloko womatengoli wihidingoto abe ma redi yogoa goanika de unangoo ma iwipohali hiadono ai peaika iwilaboka de duru iwidoa doana de unangoo ko idadiua wamake ho wolio womahomoa dika
01973,0,6,de womamotumuku de duru womagahoko unangika wato ma rai to ngohi ngohiora ka moetekohi ma muna ngade-ngade de mohonenge ho ngohi togahoko ngona nohiniki ahi tauino de nomiso de 'ani giama la motogumu ami kangelaino la kaidadi muna mowangohi,de womamotumuku de duru womagahoko unangika wato marai to ngohi ngohi ora ka moetekohi ma muna ngade ngade de mohonenge ho ngohi togahoko ngona nohiniiki ahi tauino de nomiso de ani giama la motogumu ami kangelaino la ka idadi muna mowangohi
02609,0,17,de womahimatoko iboto de ona ngo yolio de ona ngo yoiki yahingahu 'o yesusu aidodeawoika ato ngomi ahaona wiwimake 'o yesusu ma sara manga demo tona ngo ma koyangakua,de womahimatoko ibooto de onangoo yolio de onangoo yoiki yahingahu o yesusu ai dodiawoika ato ngomi ahao naa wiwimake o yesusu masara manga demo to onangoo ma ko yangakua
01888,0,9,de ma moioli kaidadi tohiketero nako o tau moi de yoma keteliliara de ka'ihikaika yoma kokalawana gea ona ngo yahikapusakoka,de moioli ka idadi tohiketero nako o tau moi de yomaketeliliara de ka ihikaika yomakokalawana gea onangoo yahikapusakoka
01863,0,10,de o yesus womalega ari hononga de wongamo anga moi ai dohata howonika de ai hininga duru ihuha ma titi manga pea kohadogowini ho hiadono wa kokidamanoka de witemo ai giama ihelu-helukika wato nagorakie ani giama de wagorakie ai giama de idadi imakadaene abe hoka ai giama ma honongali ho itogumoka,de o yesusu womalega arihononga de wongamo angamoi ai dohata o howonika de ai hininga duru ihuha ma titi manga pea kohadogowini ho hiadono wakokidamaanoka de witemo ai giama ihelu helukika wato nagorakiye ani giama de wagorakiye ai giama de idadi imakadaene abe hoka ai giama ma honongali ho itogumoka
02037,0,14,de yomahiadonikaka de yofarene ma ngigorie de o yesus de manga ngoe-ngoe gea wamake wamake de duru wadora o nagea de wato hioko abeika o nana yomaketero hoka o domba abe koiwa ma gogoana hokogea ai hininga ho womulaenge wadotoko nangika abe ai dodotoko ma titi ma ngoeika,de yomahiadonikaka de wofarene ma ngigoriye o yesusu de manga ngoe ngoe gea wamake wamake de duru wadora ona gea de wato hiokoo abeika ona naa yomaketero hoka o domba abe ko iwa ma gogoana hokogea ai hininga ho womulaenge wadotoko onangika abe ai dodotoko ma titi ma ngoeika
02023,0,11,de o nyawa abe yokokurutie 'o galilea matonakoka 'ona manga ngoe yaniiki airamerameoka gea abe 'ona yokokurutie naga 'utu abe yahipareta manga kokawahaika de naga utu 'o tentara ma nyawa manga hohidimono,de o nyawa abe yokokurutiye o galilea ma tonakoka ona manga ngoe yaniiki ai rame rameoka gea abe ona yokokurutiye naga utu abe yahipareta manga kokawaahaika de naga utu o tentara ma nyawa manga hohidimono
01877,0,9,de hokona 'ona yangi moi de yahinoto gee manga romanga abe naga 'o simono abe 'una gea 'o yesusu wihiromangoli 'o peturusu,de hokonaa ona yangimoi de yahinooto gea manga romanga abe naga o simono abe una gea o yesusu wihiromangoli o peturusu
02166,0,16,de gea manga dorou unangika idadi duru imaketero hoka madodihiraka ihitulihukuoka ma jou ai demo-demoka hona ngohioli tinileha nginika naga ma jou aidemo-demoka ihi tulihukuoka matiti ngohi o nyawa mangofaka abe ahao ihi dohata de ihioluku de hiadono ihihikangela mangoe ho gea matiti okia abe ika-gea nia fikirohi,de gea manga dorou unangika idadi duru imaketero hoka ma dodihiraka ihitulihukuoka ma jou ai demo demoka ho naa ngohioli tinileha nginika naga ma jou ai demo demoka ihitulihukuoka ma titi ngohi o nyawa ma ngofaka abe ahao ihidohata de ihioluku de hiadono ihihikangela ma ngoe ho gea ma titi o kia abeika gea niafikirohi
02172,1,27,ho abe ma oraha ma tokata ivibarene gea i vihirubauku mato na kuku ahingofaka de ai uruoka naga ai kibiri iuihi de na gali ai ngingiri ka ihikaika vohikokagoli de na gali ai badangoli duru itiritirihoka ho ka ngano to gahoko iahi voika abe inininiki la tato ma tokata iahi titoko unangino ma sara ona ko iakunua,ho abe ma oraha ma tokata iwibarene gea iwihirubauku ma tonakuku ahi ngofaka de ai uruoka naga ai kibiri iuihi de nagali ai ingiri ka ihikaika wohikagoli de nagali ai badangoli duru itiri tirihoka ho kangano togahoko yahiwoika abe ininii niiki la tato ma tokata yahititoko unangino masara ona ko yakunua
02413,2,11,de' o nyawa yomahikapongo moi de' manga musu yomakete-parangi eko o nuhu hinoto de' yomakumusu de ma oraha gea o tonaka idadi ihikelu-kelu mangoe de' o tonaka utuoli o nyawa komanga ngoe yohonenge anga moi naga o hafini ma amoko,de o nyawa yomahikapongo moi de manga musu yomaketeparangi eko o nuuhu hinooto de yomakumusu de ma oraha gea o tonaka idadi ihikelu kelu ma ngoe de o tonaka utuoli o nyawa ko manga ngoe yohonenge angamoi naga o hafini ma amoko
02407,0,4,muruonoka de ahao idadi ma jou ai tauika de' ma dodungu okia abe ahao idadi la miamake de gena ngino mihioriki abe itigioka ma karusaka gea,muruonoka de ahao idadi ma jou ai tauika de ma dodunguu o kia abe ahao idadi la miamake de genangino mihioriki abe itigioka ma karusaka gea
01902,1,20,de 'ipahaino de 'o yesusu ma moioli 'o nyawa wadotoko galilea ma akere ma ngooto ma datekoka de duru ka yowoekaholi yomatomuino ho 'o yesusu womatururu 'o ngotiroko de wogogeruku 'o ngotiroka gea la wadotoko 'onangika de 'abe 'o nyawa yowoe-woe yomafafoino genangoka 'ona kaodudungoka dika de 'iwihigihene 'unangika,de ipahaino de o yesusu ma moioli o nyawa wadotoko o galilea ma akere ma ngooto ma datekoka de duru ka yowoeokaholi yomatoomuino ho o yesusu womaturuuru o ngotiroko de wogogeruku o ngotiroka gea la wadotoko onangika de abe o nyawa yowoe woe yomafafoino genangoka ona ka o dudungoka dika de iwihigihene unangika
01916,1,1,abe una wato o bibiti gea wohibarihika gea ma jou ai demo-demo,abe una wato o bibiti gea wohibarihika gea ma jou ai demo demo
02091,0,5,de o yahudi ma nyawa ona koyomaketedo-diawoua de o asuru ma nyawa abe koyaigoua onangika ho o yesusu ma oraha womipaluhu de wahiketero abe ona ko yahudi ma nyawaua wahiromanga o kaho,de o yahudi ma nyawa ona ko yomaketedodiawoua de o asuru ma nyawa abe ko yaigoua onangika ho o yesusu ma oraha womipaluhu de wahiketero abe ona ko o yahudi ma nyawaua wahiromanga o kaho
02085,0,2,de gea mata-mata ma datoro ma dorou ka 'o nyawa manga hiningaino dika ipuda ho gea hiadono yahihowono ma jouika,de gea mata mata ma datoro ma dorou ka o nyawa manga hiningaino dika ipuda ho gea hiadono yahihowono ma jouika
02594,0,5,de ipaha o hiaini ma futuku de o ngo maria magdalena de momatengo o ngo maria gea to yakobusu ngoi-meme de o ngo salome ona yaruange yomakiniiki yoija o minya abe ma bounu duru ma hohailoa abe ma ngofeka yaruange-gea ato yoiki o yesusu ailungunika la ai honenguku iwihituagi abe hoka manga biaha yotoba-diai o nyawa manga honengika,de ipaha o hiaini ma futuku de o ngo maria madalena de momatengo o ngo maria gea to yakobusu ngoi meme de o ngo salome ona yaruange yomakiniiki yoija o minya abe ma bounu duru ma hohailoa abe ma ngofeka yaruange gea ato yoiki o yesusu ai lungunika la ai honenguku iwihituagi abe hoka manga biaha yotobadiai o nyawa manga honengika
02245,3,12,abe nako o aewani o unta de' o populaki malakoika iwohama la ato mahonongaika ihapongo ena ngohi gea hatoli igapanga masara nako o ona yokaya-kaya ato yodadi to una aikokawaha abe wahikoano ona ngohi duru ihuha yohapongo ma jou ai ngie,abe nako o aewani o unta de o populaki ma lakoika iwohama la ato ma honongaika ihapongo enangohi gea hatoli igapanga masara nako ona yokaya kaya ato yodadi to una ai kokawaaha abe wahikoano onangohi duru ihuha yohapongo ma jou ai ngiiye
02117,3,27,de ma oraha gea naga 'o farisi manga domuino ma nyawa yoboa 'o yesusino de iwiributu nangika la ato iwihitaili de to'ona manga demo de iwitemo ato ngomi marai migahoko la 'o heheranga no mihimatoko nala kaidadi miamake de mihioriki ngona 'o horogaka de nauku eko kouwa,de ma oraha gea naga o farisi manga doomuino ma nyawa yoboa o yesusino de iwiribuutu unangika la ato iwihitaili de to ona manga demo de iwitemo ato ngomi marai migahoko la o heheranga nomihimatoko mia himangoka naa la ka idadi miamake de mihioriki ngona o horogaka de nauku eko koua
