file_name,book_id,chapter_start,verse_start,timestamp,chapter_length
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,1,4.91,241.1102041
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,2,12.68,241.1102041
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,3,27.08,241.1102041
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,4,32.82,241.1102041
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,5,40.54,241.1102041
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,6,45,241.1102041
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,7,48.62,241.1102041
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,8,55.16,241.1102041
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,9,60.82,241.1102041
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,10,67.74,241.1102041
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,11,80.94,241.1102041
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,12,86.78,241.1102041
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,13,97.33,241.1102041
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,14,104.94,241.1102041
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,15,109.93,241.1102041
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,16,114.01,241.1102041
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,17,121.77,241.1102041
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,18,132.04,241.1102041
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,19,140.4,241.1102041
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,20,147.26,241.1102041
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,21,155.21,241.1102041
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,22,164.64,241.1102041
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,23,168.15,241.1102041
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,24,174.73,241.1102041
B07___01_1Corinthians__N2KORSKV.mp3,1CO,1,25,182.03,241.1102041
