language,version,stocknumber,filesetid,type,script,iso639
Abidji,The New Testament in Abiji,N2ABI/WBT,ABIWBTN2DA,audio_drama,Latn,abi
Achagua,New Testament in Achagua,P2ACA/WBT,ACAWBTP2DA,audio_drama,Latn,aca
Gikyode,Gikyode 2001 Edition,N2ACD/WBT,ACDWBTN2DA,audio_drama,Latn,acd
Achinese,1997 Today's Aceh Version,N2ACE/IBS,AC1IBSN2DA,audio_drama,Latn,ace
Saint Lucian Creole French,The New Testament in St. Lucian Creole,N2DOM/BEC,DOMBECN2DA,audio_drama,Latn,acf
Acoli,Acholi 1985 Edition,N2ACH/BSU,ACHBSUN2DA,audio_drama,Latn,ach
Standard Arabic,"Arabic Al Sharif, Iraqi Accent ",N2ACM/ASV,ACMAS3N2DA,audio_drama,Arab,arb
Achang,Ngochang 2004 Edition,N2ACN/BSM,ACNBSMN2DA,audio_drama,Latn,acn
Achi,2009 Edition (New Alphabet),N2ACR/WBT,ACRWB1N2DA,audio_drama,NULL,acr
Achi,2009 Edition (Traditional),N2ACR/WBT,ACRWBTN2DA,audio_drama,Latn,acr
Achuar-Shiwiar,Achuar-Shiwiar 1994 Edition,N2ACU/TBL,ACUTBLN2DA,audio_drama,Latn,acu
Adangme,The Bible in the Dangme language,N2DGM/BSG,DGMBSGN2DA,audio_drama,NULL,ada
Adele,Adele 1996 Edition,N2ADE/TBL,ADETBLN2DA,audio_drama,Latn,ade
Adhola,Dhopadhola 2002 Edition,N2ADH/BSU,ADHBSUN2DA,audio_drama,NULL,adh
Adioukrou,Adioukrou 1998 Edition,N2ADJ/WBT,ADJWBTN2DA,audio_drama,Latn,adj
Adyghe,Adyghe Portions,P2ADY/IBT,ADYIBTP2DA,audio_drama,Cyrl,ady
Saidi Arabic,"Portions of the Bible in Sa’idi Egyptian, Colloquial Upper Egyptian ",P2AEC/EBS,AECEBSP2DA,audio_drama,NULL,aec
Agutaynen,The New Agreement Agutaynen Bible,N2AGN/WPS,AGNWPSN2DA,audio_drama,Latn,agn
Aguaruna,Aguaruna 2005 Edition,N2AGR/TBL,AGRTBLN2DA,audio_drama,Latn,agr
Aguacateco,(Asociación Educativa y Cultural Maya) Portions of the Bible in Awakateko ,P2AGU/AEM,AGUAEMP2DA,audio_drama,Latn,agu
Akha,Akha 2001 Edition,N2AHK/TBS,AHKTBSN2DA,audio_drama,NULL,ahk
Igo,Portions of the Bible in Igo,P2AHL/ABT,AHLABTP2DA,audio_drama,NULL,ahl
Arosi,Arosi 2004 Edition,N2AIA/WYI,AIAWYIN2DA,audio_drama,Latn,aia
Akan,The New Testament in Akuapem,N2TWS/BSG,AK1BSGN2DA,audio_drama,Latn,aka
Akan: Fante,The New Testament in Fante,N2TWS/FAN,AK3FANN2DA,audio_drama,NULL,aka
Akan: Asante,ASANTE: 1964 New Testament,N2TWS/ASA,AK2ASAN2DA,audio_drama,NULL,aka
Batak Angkola,Batak Angkola 1991 Edition,N2AKB/LAI,AKBLAIN2DA,audio_drama,Latn,akb
Akawaio,Akawaio 2010 Edition,N2AKE/BSS,AKEBSSN2DA,audio_drama,Latn,ake
Siwu,Siwu 2008 Edition,N2AKP/WBT,AKPWBTN2DA,audio_drama,Latn,akp
Alladian,The New Testament in Alladian,N2ALD/ABC,ALDABCN2DA,audio_drama,NULL,ald
Alangan,Alangan 1989 Edition,N2ALJ/OMF,ALJOMFN2DA,audio_drama,Latn,alj
