"language","version","stocknumber","filesetid","type","script","iso639","bibleid"
"Kalam","2008 Wycliffe Bible Translators, Inc.","N2AAH/WBT","AA1WBT","text_format","Latn","kmh","AA1WBT"
"Kalam","2008 Wycliffe Bible Translators, Inc.","N2AAH/WBT","AA1WBT","text_plain","Latn","kmh","AA1WBT"
"Kalam (Minimib)","2008 Wycliffe Bible Translators, Inc.","N2AAH/KMV","AAHWBT","text_plain","Latn","kmh","AAHWBT"
"Kalam (Minimib)","2008 Wycliffe Bible Translators, Inc.","N2AAH/KMV","AAHWBT","text_format","Latn","kmh","AAHWBT"
"Arifama-Miniafia","2009 Wycliffe Bible Translators, Inc.","N2AAI/WBT","AAIWBT","text_plain","Latn","aai","AAIWBT"
"Ankave","1990 Wycliffe Bible Translators, Inc.","N2AAK/WBT","AAKWBT","text_plain","Latn","aak","AAKWBT"
"Ankave","1990 Wycliffe Bible Translators, Inc.","N2AAK/WBT","AAKWBT","text_format","Latn","aak","AAKWBT"
"Abau","2006 Wycliffe Bible Translators, Inc.","N2AAU/WBT","AAUWBT","text_format","Latn","aau","AAUWBT"
"Abau","2006 Wycliffe Bible Translators, Inc.","N2AAU/WBT","AAUWBT","text_plain","Latn","aau","AAUWBT"
"Amarasi","2017 Wycliffe Bible Translators, Inc.","N1AAZ/EPC","AAZEPC","text_plain","Latn","aaz","AAZEPC"
"Amarasi","2017 Wycliffe Bible Translators, Inc.","N1AAZ/EPC","AAZEPC","text_format","Latn","aaz","AAZEPC"
"Amarasi","2017 Wycliffe Bible Translators, Inc.","N1AAZ/EPC","AAZEPCN1DA","audio","Latn","aaz","AAZEPC"
"Amarasi","2017 Wycliffe Bible Translators, Inc.","N1AAZ/EPC","AAZEPCP2DV","video_stream","Latn","aaz","AAZEPC"
"Ambulas","1996 Wycliffe Bible Translators, Inc.","N2ABT/AWV","AB1AWV","text_format","Latn","abt","ABTAWV"
"Ambulas","1996 Wycliffe Bible Translators, Inc.","N2ABT/AWV","AB1AWV","text_plain","Latn","abt","ABTAWV"
"Abidji","2001 Wycliffe Bible Translators","N2ABI/WBT","ABIWBT","text_plain","Latn","abi","ABIWBT"
"Abidji","2001 Wycliffe Bible Translators","N2ABI/WBT","ABIWBT","text_format","Latn","abi","ABIWBT"
"Abidji","2001 Wycliffe Bible Translators","N2ABI/WBT","ABIWBTN1DA","audio","Latn","abi","ABIWBT"
"Abidji","2001 Wycliffe Bible Translators","N2ABI/WBT","ABIWBTN1DA16","audio","Latn","abi","ABIWBT"
"Abidji","2001 Wycliffe Bible Translators","N2ABI/WBT","ABIWBTN2DA","audio_drama","Latn","abi","ABIWBT"
"Abidji","2001 Wycliffe Bible Translators","N2ABI/WBT","ABIWBTN2DA16","audio_drama","Latn","abi","ABIWBT"
"Abidji","2001 Wycliffe Bible Translators","N2ABI/WBT","ABIWBTP2DV","video_stream","Latn","abi","ABIWBT"
"Abellen Ayta","Wycliffe Bible Translators, Inc.","N2ABP/WBT","ABPWBT","text_format","Latn","abp","ABPWBT"
"Abellen Ayta","Wycliffe Bible Translators, Inc.","N2ABP/WBT","ABPWBT","text_plain","Latn","abp","ABPWBT"
"Abellen Ayta","Wycliffe Bible Translators, Inc.","N2ABP/WBT","ABPWBTN1DA","audio","Latn","abp","ABPWBT"
"Abellen Ayta","Wycliffe Bible Translators, Inc.","N2ABP/WBT","ABPWBTN1DA16","audio","Latn","abp","ABPWBT"
"Abellen Ayta","Wycliffe Bible Translators, Inc.","N2ABP/WBT","ABPWBTN2DA","audio_drama","Latn","abp","ABPWBT"
"Abellen Ayta","Wycliffe Bible Translators, Inc.","N2ABP/WBT","ABPWBTN2DA16","audio_drama","Latn","abp","ABPWBT"
"Abellen Ayta","Wycliffe Bible Translators, Inc.","N2ABP/WBT","ABPWBTP2DV","video_stream","Latn","abp","ABPWBT"
"Ambulas (Maprik)","1983 Wycliffe Bible Translators, Inc.","N2ABT/AMV","ABTAMV","text_plain","Latn","abt","ABTAMV"
"Ambulas (Maprik)","1983 Wycliffe Bible Translators, Inc.","N2ABT/AMV","ABTAMV","text_format","Latn","abt","ABTAMV"
"Aneme Wake","1988 Wycliffe Bible Translators, Inc.","N2ABY/WBT","ABYWBT","text_format","Latn","aby","ABYWBT"
"Aneme Wake","1988 Wycliffe Bible Translators, Inc.","N2ABY/WBT","ABYWBT","text_plain","Latn","aby","ABYWBT"
"Achinese","Today's Aceh Version, 1997","N2ACE/IBS","AC1IBS","text_plain","Latn","ace","ACEIBS"
"Achinese","Today's Aceh Version, 1997","N2ACE/IBS","AC1IBS","text_format","Latn","ace","ACEIBS"
"Achinese","Today's Aceh Version, 1997","N2ACE/IBS","AC1IBSN2DA","audio_drama","Latn","ace","ACEIBS"
"Achinese","Today's Aceh Version, 1997","N2ACE/IBS","AC1IBSN2DA16","audio_drama","Latn","ace","ACEIBS"
"Achagua","2013 The Bible League","P2ACA/WBT","ACAWBT","text_plain","Latn","aca","ACAWBT"
"Achagua","2013 The Bible League","P2ACA/WBT","ACAWBT","text_format","Latn","aca","ACAWBT"
"Achagua","2013 The Bible League","P2ACA/WBT","ACAWBTP2DA","audio_drama","Latn","aca","ACAWBT"
"Achi","1992 Wycliffe Bible Translators Inc.","N1ACC/IBS","ACCIBS","text_plain","Latn","acr","ACCIBS"
"Achi","1992 Wycliffe Bible Translators Inc.","N1ACC/IBS","ACCIBSN1DA","audio","Latn","acr","ACCIBS"
"Achi","1992 Wycliffe Bible Translators Inc.","N1ACC/IBS","ACCIBSN1DA16","audio","Latn","acr","ACCIBS"
"Achi","1992 Wycliffe Bible Translators Inc.","N1ACC/IBS","ACCIBSP2DV","video_stream","Latn","acr","ACCIBS"
"Gikyode","2001 Wycliffe Bible Translators Inc.","N2ACD/WBT","ACDWBT","text_plain","Latn","acd","ACDWBT"
"Gikyode","2001 Wycliffe Bible Translators Inc.","N2ACD/WBT","ACDWBT","text_format","Latn","acd","ACDWBT"
"Gikyode","2001 Wycliffe Bible Translators Inc.","N2ACD/WBT","ACDWBTN2DA","audio_drama","Latn","acd","ACDWBT"
"Gikyode","2001 Wycliffe Bible Translators Inc.","N2ACD/WBT","ACDWBTN2DA16","audio_drama","Latn","acd","ACDWBT"
"Gikyode","2001 Wycliffe Bible Translators Inc.","N2ACD/WBT","ACDWBTP2DV","video_stream","Latn","acd","ACDWBT"
"Acoli","1985 Bible Society of Uganda","N2ACH/BSU","ACHBSU","text_plain","Latn","ach","ACHBSU"
"Acoli","1985 Bible Society of Uganda","N2ACH/BSU","ACHBSU","text_format","Latn","ach","ACHBSU"
"Acoli","1985 Bible Society of Uganda","N2ACH/BSU","ACHBSUN2DA","audio_drama","Latn","ach","ACHBSU"
"Acoli","1985 Bible Society of Uganda","N2ACH/BSU","ACHBSUN2DA16","audio_drama","Latn","ach","ACHBSU"
"Acoli","1985 Bible Society of Uganda","N2ACH/BSU","ACHBSUP2DV","video_stream","Latn","ach","ACHBSU"
"Standard Arabic","Sharif (Iraqi) Version","N2ACM/ASV","ACMAS3","text_plain","Arab","arb","ACMAS3"
"Standard Arabic","Sharif (Iraqi) Version","N2ACM/ASV","ACMAS3N2DA","audio_drama","Arab","arb","ACMAS3"
"Standard Arabic","Sharif (Iraqi) Version","N2ACM/ASV","ACMAS3N2DA16","audio_drama","Arab","arb","ACMAS3"
"Standard Arabic","Sharif (Iraqi) Version","N2ACM/ASV","ACMASVP2DV","video_stream","Arab","arb","ACMAS3"
"Achang","United Bible Societies, 2004","N2ACN/BSM","ACNBSM","text_plain","Latn","acn","ACNBSM"
"Achang","United Bible Societies, 2004","N2ACN/BSM","ACNBSMN1DA","audio","Latn","acn","ACNBSM"
"Achang","United Bible Societies, 2004","N2ACN/BSM","ACNBSMN2DA","audio_drama","Latn","acn","ACNBSM"
"Achang","United Bible Societies, 2004","N2ACN/BSM","ACNBSMN2DA16","audio_drama","Latn","acn","ACNBSM"
"Achi","Asociación Educativa y Cultural Maya","P2ACR/AEM","ACRAEM","text_plain","Latn","acr","ACRAEM"
"Achi","Asociación Educativa y Cultural Maya","P2ACR/AEM","ACRAEM","text_format","Latn","acr","ACRAEM"
"Achi","Asociación Educativa y Cultural Maya","P2ACR/AEM","ACRAEMP1DA","audio","Latn","acr","ACRAEM"
"Achi","Asociación Educativa y Cultural Maya","P2ACR/AEM","ACRAEMP2DA","audio_drama","Latn","acr","ACRAEM"
"Achi","2009 Wycliffe Bible Translators Inc.","N2ACR/WBT","ACRWB1","text_format",NULL,"acr","ACRNNT"
"Achi","2009 Wycliffe Bible Translators Inc.","N2ACR/WBT","ACRWB1","text_plain",NULL,"acr","ACRNNT"
"Achi","2009 Wycliffe Bible Translators Inc.","N2ACR/WBT","ACRWB1N2DA","audio_drama",NULL,"acr","ACRNNT"
"Achi","2009 Wycliffe Bible Translators Inc.","N2ACR/WBT","ACRWB1P2DV","video_stream",NULL,"acr","ACRNNT"
"Achi","2009 Wycliffe Bible Translators Inc.","N2ACR/WBT","ACRWBT","text_format","Latn","acr","ACRTNT"
"Achi","2009 Wycliffe Bible Translators Inc.","N2ACR/WBT","ACRWBT","text_plain","Latn","acr","ACRTNT"
"Achi","2009 Wycliffe Bible Translators Inc.","N2ACR/WBT","ACRWBTN2DA","audio_drama","Latn","acr","ACRTNT"
"Achi","2009 Wycliffe Bible Translators Inc.","N2ACR/WBT","ACRWBTN2DA16","audio_drama","Latn","acr","ACRTNT"
"Achi","2009 Wycliffe Bible Translators Inc.","N2ACR/WBT","ACRWBTP2DV","video_stream","Latn","acr","ACRTNT"
"Achuar-Shiwiar","1983 Bible League International","N2ACU/TBL","ACUTBL","text_plain","Latn","acu","ACUTBL"
"Achuar-Shiwiar","1983 Bible League International","N2ACU/TBL","ACUTBL","text_format","Latn","acu","ACUTBL"
"Achuar-Shiwiar","1983 Bible League International","N2ACU/TBL","ACUTBLN2DA","audio_drama","Latn","acu","ACUTBL"
"Achuar-Shiwiar","1983 Bible League International","N2ACU/TBL","ACUTBLN2DA16","audio_drama","Latn","acu","ACUTBL"
"Achuar-Shiwiar","1983 Bible League International","N2ACU/TBL","ACUTBLP2DV","video_stream","Latn","acu","ACUTBL"
"Adele","1996 Bible League Intl.","N2ADE/TBL","ADETBL","text_plain","Latn","ade","ADETBL"
"Adele","1996 Bible League Intl.","N2ADE/TBL","ADETBLN2DA","audio_drama","Latn","ade","ADETBL"
"Adele","1996 Bible League Intl.","N2ADE/TBL","ADETBLN2DA16","audio_drama","Latn","ade","ADETBL"
"Adhola","2002 Bible Society of Uganda","N2ADH/BSU","ADHBSU","text_plain",NULL,"adh","ADHBSU"
"Adhola","2002 Bible Society of Uganda","N2ADH/BSU","ADHBSU","text_format",NULL,"adh","ADHBSU"
"Adhola","2002 Bible Society of Uganda","N2ADH/BSU","ADHBSUN2DA","audio_drama",NULL,"adh","ADHBSU"
"Adhola","2002 Bible Society of Uganda","N2ADH/BSU","ADHBSUN2DA16","audio_drama",NULL,"adh","ADHBSU"
"Adhola","2002 Bible Society of Uganda","N2ADH/BSU","ADHBSUP2DV","video_stream",NULL,"adh","ADHBSU"
"Adioukrou","1998 Wycliffe Bible Translators Inc.","N2ADJ/WBT","ADJWBT","text_plain","Latn","adj","ADJWBT"
"Adioukrou","1998 Wycliffe Bible Translators Inc.","N2ADJ/WBT","ADJWBTN2DA","audio_drama","Latn","adj","ADJWBT"
"Adioukrou","1998 Wycliffe Bible Translators Inc.","N2ADJ/WBT","ADJWBTN2DA16","audio_drama","Latn","adj","ADJWBT"
"Amdo Tibetan","New Tibetan Version (Modern Literary)","N2ADX/NVS","ADXNVS","text_plain","Tibt","adx","ADXNVS"
"Amdo Tibetan","New Tibetan Version (Modern Literary)","P2ADX/NVS","ADXNVSP1DA","audio","Tibt","adx","ADXNVS"
"Amdo Tibetan","New Tibetan Version (Modern Literary)","P2ADX/NVS","ADXNVSP2DA","audio_drama","Tibt","adx","ADXNVS"
"Adyghe","2014 Edition","P2ADY/IBT","ADYIBT","text_format","Cyrl","ady","ADYIBT"
"Adyghe","2014 Edition","P2ADY/IBT","ADYIBT","text_plain","Cyrl","ady","ADYIBT"
"Adyghe","2014 Edition","P2ADY/IBT","ADYIBTP1DA","audio","Cyrl","ady","ADYIBT"
"Adyghe","2014 Edition","P2ADY/IBT","ADYIBTP2DA","audio_drama","Cyrl","ady","ADYIBT"
